Identifier,Start Date / Time,End Date / Time,Title,Subtitle,Type,Description,Permalink,Building Name,Room,Location Name,Cost,Tags,Sponsors
144077-21894618,2/20/26 11:00,2/20/26 12:00,"From UROP to the Center for Research, Scholarship, & Creative Inquiry: Elevating Undergraduate Discovery @ U-M",,Workshop / Seminar,"For years, the University of Michigan's Undergraduate Research Opportunities Program (UROP) has been a launchpad for student discovery. Now, we are growing. Join us for a campus-wide information session as we unveil our transition into the Center for Research, Scholarship, and Creative Inquiry (CRSCI).This evolution represents more than just a name change. As a Center, UROP is now a university-wide strategic asset with central resources for UM researchers and UM undergraduate research assistants. Come learn about our expanded funding opportunities, new mentorship resources, and how this Center will serve as the premier hub for all student-led inquiry. ",https://events.umich.edu/event/144077,,,,,Sessions,Sessions @ Michigan
144306-21895139,2/20/26 11:00,2/20/26 12:30,Nineteenth-Century Forum: Book Club (Feb 20th),Nineteenth-Century Forum: Bookclub (Feb 20th),Workshop / Seminar,,https://events.umich.edu/event/144306,,,3184 Angell Hall,,Sessions,Sessions @ Michigan
142531-21891090,2/20/26 11:00,2/20/26 12:00,OGPS Faculty Corner Winter 2026,,Workshop / Seminar,"
                            
            This is a monthly in-person event designed to provide 
insights, advice, and knowledge to you as an emerging academic. Each 
event features a faculty member discussing topics pertinent to starting 
an academic career focusing on research. You will get to hear from 
faculty about their career trajectories and how they navigated their 
transition from trainee to faculty member. You will also have an 
opportunity to network with the faculty member as well as other 
trainees.Aims and Objectives:To provide a platform where trainees can learn from faculty experiences and knowledge.To address and discuss pertinent issues and topics relevant to the biomedical/medical field and life sciences.To foster networking and community-building opportunities among trainees and faculty.To
 promote a culture of continuous learning and improvement, equipping 
trainees with the necessary skills and information for the faculty 
profession needed to transition into academia.
        
    
            ",https://events.umich.edu/event/142531,,,THSL 2955,,Sessions,Sessions @ Michigan
145107-21896676,2/20/26 11:00,2/20/26 12:30,Rackham/Sweetland Workshops on Writing - Winter 2026,,Workshop / Seminar,"Rackham/Sweetland Workshops, co-sponsored by the Rackham Graduate 
School, cover a host of topics designed to help graduate students in 
various aspects of writing.",https://events.umich.edu/event/145107,,,,,Sessions,Sessions @ Michigan
145313-21897039,2/20/26 11:00,2/20/26 12:00,Smith Mini-Talk: François Tissot,Lead Contamination: An Old Foe Rises from the Ashes of the Eaton Fire,Lecture / Discussion,"In 1965, Caltech geochemist Clair Patterson published what was, at the time, a highly controversial finding: that leaded gasoline and other products like canned food solder, paints, and insecticide were exposing Americans to dangerously high levels of lead. His work helped galvanize the environmental movement, ultimately leading to the Clean Air Act of 1970. Fifty years later, Caltech researchers were once again at the center of investigations on environmental lead contamination when the Eaton fire devastated communities surrounding Caltech. A year on from the LA fires of 2025, I will discuss Patterson's legacy and its connections to the research my group and others are pursuing to study the presence of lead and other toxic metals in the aftermath of the fires. I will also share the impact of his findings to date—and how they can help communities prepare as fires at the wildland-urban interface grow increasingly common.",https://events.umich.edu/event/145313,1100 North University Building,2540,1100 North University Building,,Earth And Environmental Sciences,Earth and Environmental Sciences
144320-21895161,2/20/26 11:00,2/20/26 15:00,Statistics and machine learning for studying air pollution using low-cost sensors (Environmental Statistics Day Symposium),"Keynote lecture provided by Abhi Datta, PhD from the Johns Hopkins Bloomberg School of Public Health",Lecture / Discussion,"Symposium Schedule
All events taking place in the School of Public Health (1415 Washington Heights)

11:00 am -12:00 pm
Keynote Lecture
1655 SPH 1

12:00-1:30 pm
Posters and Lunch
1680 SPH 1 (Cornely Community Room)

1:30-2:30 pm
Lightning Talks and Q&A
1680 SPH 1 (Cornely Community Room)

2:45 pm
Awards 
Best Oral Presentation and Best Poster",https://events.umich.edu/event/144320,Public Health I (Vaughan Building),1655,Public Health I (Vaughan Building),,"Basic Science
Biosciences
Civil and Environmental Engineering
Climate and Space Sciences and Engineering
Earth Day at 50
Ecology
Environment
environmental
Free
Graduate
Health
Health & Wellness
Industrial and Operations Engineering
Interdisciplinary
Lecture
Life Science
Lifelong Learning
Nursing
Postdoctoral Research Fellows
Pre-Health
Public Health
Public Policy
Research
seminar
Sustainability",Michigan Lifestage Environmental Exposures and Disease Center
145133-21896709,2/20/26 11:00,2/20/26 12:30,Transition to Graduate Writing II,Rackham/Sweetland Workshops on Writing,Workshop / Seminar,"This workshop offers practical strategies for reading, writing, and revising academic texts while identifying transferable patterns across disciplinary genres. 

Graduate students are required to navigate a range of academic writing conventions, genres, expectations, and audiences. This workshop will help graduate student writers identify critical strategies for reading and writing academic texts. We’ll talk about how to approach unfamiliar writing tasks, develop drafting and revision practices, and identify patterns across all disciplinary forms of academic writing. The workshop will conclude by identifying our learning goals and developing best methods for achieving them. 

Presented by Monroe Moody, Sweetland Center for Writing Faculty.

Registration required. See link.

Rackham/Sweetland Workshops, co-sponsored by the Rackham Graduate School, cover a host of topics designed to help graduate students in various aspects of writing.",https://events.umich.edu/event/145133,North Quad,2435,North Quad,,"Graduate
Graduate School
Graduate Students
write
writing","Sweetland Center for Writing
Rackham Graduate School"
145305-21897032,2/20/26 11:30,2/20/26 12:20,EHour: Mal Sridhar,"Featuring Mal Sridhar, Co-Founder & CEO of TheraDriver",Lecture / Discussion,"Curious about building tech that makes a real impact? Meet Malavica Sridhar, Co-Founder & CEO of TheraDriver, a startup reshaping healthcare by streamlining scheduling for ABA therapy teams. Malavica’s journey blends deep expertise in AI, product leadership, and a passion for solving real-world challenges. From designing powerful software for executives and clinicians to improving experiences for families stuck on therapy waitlists, she’s tackling problems that matter.

Expect Malavica to share honest lessons from founding TheraDriver, building scalable tech, and navigating startup life with creativity and purpose. 

Whether you're new to entrepreneurship or already working on ideas, you'll gain practical insights on making your skills matter and shaping change.
Entrepreneurship Hour is TEDTalk-style, open to all majors and backgrounds. Bring your questions, your curiosity, and join a welcoming campus community ready to learn and connect.

Don’t miss the chance to hear Malavica’s story, meet fellow changemakers, and walk away inspired!

Friday, February 20
11:30 AM – 12:30 PM
Stamps Auditorium, North Campus",https://events.umich.edu/event/145305,Walgreen Drama Center,Stamps Auditorium,Walgreen Drama Center,,"Business
Career
Center For Entrepreneurship
Cfe
Discussion
Entrepreneur
Entrepreneur Services
Entrepreneurship
Free
Genai
Generative Ai
Graduate
Graduate and Professional Students
Graduate Professional Student Life
Graduate School
Graduate Students
In Person
In-person
Lecture
Michigan Engineering
Talk
Undergraduate
Undergraduate Students",Center for Entrepreneurship
143143-21892309,2/20/26 12:00,2/20/26 13:30,2026 Jeffrey R. Parsons Lecture - Commoning Identity and Community Formation:  A Middle Holocene Case Study in Peru,"Dr. Tom D. Dillehay, Rebecca Webb Wilson University Distinguished Professor of Anthropology, Religion, and Culture and Distinguished Professor of Anthropology and Latin American Studies, Emeritus, Vanderbilt University, Nashville",Lecture / Discussion,"The formation of food-producing societies, the organizational developments of institutionalized mechanisms for integrating them, and how these foundational mechanisms eventually led to early complex communities still is marginally understood. The socio-economic relationships between a large-scale public monument at Huaca Prieta and outlying domestic sites on the north coast of Peru during the Middle Holocene are examined in terms of community formation and identity-marking. Between ~7000 and 5500 BP population expansion and community integration developed among fishing and farming households residing in different littoral habitats. The development of a cohesive community is viewed in terms of the creation of a communing identity, defined by previously unconnected subgroups of weavers (cotton textiles and fish nets) and seafood specialists and by standardized, inter-household and -subgroup ritual and mortuary acts at Huaca Prieta. This research challenges accepted interpretations such as early communities and public monuments formed by elites controlling food production, exchange networks, and corporate labor.",https://events.umich.edu/event/143143,School of Education,1322,School of Education,,Archaeology,Museum of Anthropological Archaeology
117445-21896042,2/20/26 12:00,2/20/26 13:00,American Institutions Group,,Workshop / Seminar,"The American Institutions Group (AIG) is a Rackham interdisciplinary workshop for faculty and graduate students that meets twice a month to discuss recent and forthcoming research on American political institutions (e.g. Congress, the presidency, state legislatures and executives, the courts, and the bureaucracy). Our key goals are to offer new and varied perspectives for graduate students to harness in their own dissertation work on American political institutions; encourage conversations that breed new research ideas; and spur innovative collaborations among our participants. AIG participants are scholars in political science, public health, social work, public policy, and economics interested in examinations of American political institutions from the perspective of these disciplines.

Faculty Coordinators: Charles R. Shipan, Christian Fong

Graduate Coordinators: Karla Magaña  & Carlos Galina",https://events.umich.edu/event/117445,Haven Hall,Pre-Function Room 5769,Haven Hall,,"Department Of Political Science
Political Science",Department of Political Science
143753-21893743,2/20/26 12:00,2/20/26 12:45,Bate-Papo: Portuguese Conversation Hour,,Social / Informal Gathering,"-Enjoy coffee, tea, and light snacks while improving your Portuguese! All language levels are welcome.

-Meet in the RLL Commons: located in the center hallway of the 4th floor of the Modern Languages Building.

Questions? Contact Maria Teresa Mattos at (mtmattos@umich.edu).",https://events.umich.edu/event/143753,Modern Languages Building,"RLL Commons, 4314 MLB",Modern Languages Building,,"Brazil
Coffee
Communication
Community
Community Based Learning
Community Engagement
Culture
Discussion
Europe
Faculty
Food
Free
Games
Global
Global Engagement
Humanities
In Person
Media
Mulitcultural
Multilingual
Portuguese
Romance Languages And Literatures
Social
Storytelling
Talk
Translate
Undergraduate
Undergraduate Students",Romance Languages & Literatures RLL
142978-21891872,2/20/26 12:00,2/20/26 13:00,CSEAS Friday Lecture Series | Pain and Buddhism in Thailand: How does Bodily Experience affect Religious Worlds?,"Scott Stonington, University of Michigan",Lecture / Discussion,"Please note: This lecture will be held in person and virtually on Zoom. The webinar is free and open to the public, but registration is required. Once you've registered, joining information will be sent to your email. Register for the Zoom webinar at: http://myumi.ch/A1MdA

Thai Buddhism is highly polymorphic, with wide regional and historical variation, with practices ranging from magical power to spirit possession to ethical codes to meditation. People draw from these elements to meet the demands of social, historical, political, and other contexts. In this talk, Stonington asks what assemblages of religious practice might
   emerge in the face of domineering experiences of the body. Severe pain has been described by phenomenologists as a totalizing experience, making it an ideal test case for this inquiry.
   
   Through interviews and participant observation with people coping with severe pain in Northern Thailand, Stonington argues that a specific set of meditation practices that showed up as orthodox for how they should relate to pain actually made their pain worse, sending them on investigative journeys to assemble novel sets of tools from other practices available to them. Through this isolated individual investigation, his interlocutors surprisingly settled on techniques similar to one another, a kind of emergent locally-heterodox rejection of received wisdom.
   
   Scott Stonington is a sociocultural anthropologist and internal medicine physician at the University of Michigan. His first book *The Spirit Ambulance*, about dying in Thailand, won awards for ethnographic writing and social theory. Current major projects include the politics and experience of pain in Thailand; and the harms generated by time pressure, emotion, and improvisation in the clinical encounter in the U.S.

*Accommodation: If there is anything we can do to make this event accessible to you, please contact us at cseas@umich.edu. Please be aware that advance notice is necessary as some accommodations may require more time for the university to arrange.*",https://events.umich.edu/event/142978,Weiser Hall,Room 555,Weiser Hall,,"Asian Languages And Cultures
Buddhism
center for southeast asian studies
Religion
thailand","Center for Southeast Asian Studies
International Institute
Asian Languages and Cultures
Department of Anthropology"
136524-21878779,2/20/26 12:00,2/20/26 14:00,Disability Awareness and Inclusion,"Presenters: Allison Kushner & Erin Metz, Disability Equity Office",Workshop / Seminar,"Disability is an integral part of maintaining a positive organizational culture. It is important to be part of a culture that supports and embraces disability inclusion. This session will cover: 

-Background about the Americans with Disabilities Act (ADA) 
-Ways to raise disability awareness and inclusion
-Best practices for creating and maintaining inclusive working and learning environments
-Content to dispel ableist myths and misconceptions about disability
-We will engage in discussions about increasing accessibility and disability inclusion. Discussions will include how to do this at the university, starting in our own units and departments. 

Additional course details and registration are available on the Organizational Learning website.",https://events.umich.edu/event/136524,Off Campus Location,,Virtual,,"Accessibility
Digital Accessibility
Disability
Discussion
Diversity
Inclusion
Neurodiversity
Virtual
Workshop","Disability Equity Office
Organizational Learning
Equity Civil Rights and Title IX Office"
141274-21888526,2/20/26 12:00,2/20/26 14:00,Disability Awareness and Inclusion,Presenter: Disability Equity Office,Workshop / Seminar,Course details and registration are available on the Organizational Learning website.,https://events.umich.edu/event/141274,Off Campus Location,,Virtual,,"Accessibility
Communication
Disability
Inclusion","Organizational Learning
Disability Equity Office"
145071-21896617,2/20/26 12:00,2/20/26 16:00,Drop-in CPR and AED Training,,Workshop / Seminar,"Learn lifesaving skills! Stop by the Shapiro Gallery, anytime between noon and 4pm, where certified students will offer (non-certified) CPR (cardiopulmonary resuscitation) and AED (automated external defibrillator) training and provide information about heart health. There will be multiple practice stations available, and the hands-on training takes approximately 10-15 minutes. Plus there will be snacks!

Presented by these student organizations: The American Heart Association Club and the EMS Club.",https://events.umich.edu/event/145071,Shapiro Library,Gallery (3rd floor),Shapiro Library,,"Free
Library",University Library
95986-21892255,2/20/26 12:00,2/20/26 12:45,Expedition Reef,,Presentation,"Learn the secrets of the “rainforests of the sea” as you embark on an oceanic safari of the world’s most vibrant—and endangered—marine ecosystems. Expedition Reef immerses you in an undersea adventure. Along the way, discover how corals grow, feed, reproduce, and support over 25% of all marine life on Earth.

The state-of-the-art Planetarium & Dome Theater at the U-M Museum of Natural History transports visitors beyond distant stars and back in time from the comfort of reclining seats. Tickets $8. Tickets are available on the day of the show at the Museum Store.",https://events.umich.edu/event/95986,Museum of Natural History,Planetarium & Dome Theater,Museum of Natural History,,"natural history museum
Natural Sciences",Planetarium & Dome Theater at the Museum of Natural History
144152-21894744,2/20/26 12:00,2/20/26 22:00,GVSU Scramble #2,,Sporting Event,Returning to Grand Valley State for another scramble!,https://events.umich.edu/event/144152,,,Grand Valley State University,,,Maize Pages Student Organizations
143758-21893935,2/20/26 12:00,2/20/26 12:30,Heartfulness Meditation,Pushyami Gundala,Well-being,"Heartfulness Guided Meditation is a weekly, drop-in program designed to help you Mental well-being. 

All U-M students, faculty, and staff are welcome to participate in guided meditation practice with a trainer every Friday at noon over Zoom (details to join are provided below). No prior experience with meditation is required. 

*What will you learn?*

The guided meditation practice involves three simple steps: relaxation, rejuvenation, and meditation.

Relaxation brings your body to a calm, steady posture creating a stillness at the physical level, and prepares the mind for meditation. We follow this with a rejuvenation method to detox the mind to let go of stress and complex emotions, and will leave you feeling light and refreshed. Lastly, learning to meditate by being mindful of your heart will connect you with yourself by listening to your heart’s voice. 

*Why Meditate?*

While physical fitness keeps our bodies in shape, meditation is an exercise for the mind and mental wellness. In addition to the measurable benefits mentally and physically, many people benefit from an unquantifiable inner poise and harmony. 

*Please take Learn to Meditate session if you are new to the practice. These sessions are offered Monthly.* https://events.umich.edu/event/128708

*Event Details*

Heartfulness Guided Meditation 
Fridays from 12-12:30 p.m. ET (except during university season days / holidays)
Join Via Zoom Meeting
Register to receive Passcode (see “Related links”


This wellness program is coordinated by ITS Teaching & Learning and provided at no cost by heartfulness.org.",https://events.umich.edu/event/143758,Off Campus Location,,Virtual,,"Free
Health & Wellness
Well-being",Information and Technology Services (ITS)
144358-21895207,2/20/26 12:00,2/20/26 13:00,Kreativwerkstatt,,Social / Informal Gathering,"Chat in German and express yourself creatively. Crafting, coloring, painting, drawing, knitting, sewing, crochet, embroidery, origami? You will combine speaking German, any level welcome, beginners included, and creatively expressing yourself. You are encouraged to bring your own materials or (ongoing) projects, but we will also provide some materials and prompts each week. Contact Laura Okkema (lokkema@umich.edu) or Iris Zapf-Garcia (iriszaga@umich.edu.) with questions.",https://events.umich.edu/event/144358,Modern Languages Building,3117,Modern Languages Building,,"German
German Studies
Germanic Languages And Literatures
Germany",Germanic Languages & Literatures
145390-21897228,2/20/26 12:00,2/20/26 13:00,Life After Grad School Seminars  |  I’m no expert – embracing the dynamics of industrial research,"Dr. Joel McDonald, Technical Director for Dow's Mobility Science Segment and Applied Physics Alumnus 2007",Lecture / Discussion,"You are an expert. At this moment, as a University of Michigan graduate student, you may be in fact, amongst the world’s experts in your field. It took hard work to get there – hours in the classroom, more hours in the lab – physical or virtual. Here you are – at the top of your game. Then you get a job in industry, and your first project – and it has very little to do with your expertise. It can be alarming and disarming. And it can be the start of an incredible ride and fulfilling career. In this edition of the Life After Graduate School seminar series, Joel will review how adaptability and agility have brought him opportunities he never imagined, and satisfaction he celebrates daily.

Bio: Joel McDonald is the Technical Director for Dow’s MobilityScience segment, where he leads Dow’s efforts to deliver innovative solutions to automakers and their suppliers worldwide. He has held a variety of technical and strategy leadership positions at Dow over the 16 years of his career, with a particular emphasis on battery materials, electronics, and coatings. Before Dow, Joel was a Senior Member of the Technical Staff at Sandia National Labs in New Mexico, where he explored fundamental reaction kinetics in energetic materials. Joel completed his PhD in Applied Physics at the University of Michigan in 2007 under the advisement of Prof. Steven Yalisove, where his dissertation focused on the interaction between ultrashort pulsed lasers and materials. A native of Michigan, Joel enjoys traveling adventures with his wife and two children, fishing the local rivers and streams with his dad and bud",https://events.umich.edu/event/145390,West Hall,267B,West Hall,,"Alumni
Applied Physics
Life After Graduate School
Physics","Life After Grad School Seminars LAGS
Department of Physics
Applied Physics"
144862-21896053,2/20/26 12:00,2/20/26 13:00,MCDB Seminar> A network mechanism for perceptual learning,"Andrew J.P. Fink, Ph.D., Northwestern University",Workshop / Seminar,"Organisms continually tune their perceptual systems to the features they encounter in their environment. We have studied how this experience reorganizes the synaptic connectivity of neurons in the olfactory (piriform) cortex of the mouse. We developed an approach to measure synaptic connectivity in vivo, training a deep convolutional network to reliably identify monosynaptic connections from the spike-time cross-correlograms of 4.4 million single-unit pairs. This revealed that excitatory piriform neurons with similar odor tuning are more likely to be connected. We asked whether experience enhances this like-to-like connectivity, but found that it was unaffected by odor exposure. Experience did, however, alter the logic of interneuron connectivity. Following repeated encounters with a set of odorants, inhibitory neurons that responded differentially to these stimuli exhibited a high degree of both incoming and outgoing synaptic connections within the cortical network. This reorganization depended only on the odor tuning of the inhibitory interneuron and not on the tuning of its pre- or postsynaptic partners. A computational model of this reorganized connectivity predicts that it increases the dimensionality of the entire network’s responses to familiar stimuli, thereby enhancing their discriminability. We confirmed that this network-level property is present in physiological measurements, which showed increased dimensionality and separability of the evoked responses to familiar versus novel odorants. Thus a simple, non-Hebbian reorganization of interneuron connectivity may selectively enhance an organism’s discrimination of the features of its environment.",https://events.umich.edu/event/144862,Biological Sciences Building,1060,Biological Sciences Building,,"Biology
Bsbsigns
seminar","Department of Molecular, Cellular, and Developmental Biology"
125220-21897524,2/20/26 12:00,2/20/26 13:00,Pathology Research Seminar Series,,Workshop / Seminar,The goal of the Pathology Research Seminar Series is to educate attendees about new developments in the research of mechanisms of diseases. After completing this activity participants will be able to engage and pursue new experimental methods and arenas of investigation and incorporate knowledge into pathological diagnostic algorithms.,https://events.umich.edu/event/125220,,,3699 Med Sci II (South Lecture Hall),,Sessions,Sessions @ Michigan
143999-21894427,2/20/26 12:00,2/20/26 16:00,Revolutionary Paine: Andy Murphy Student-Curated Class Exhibit Common Sense,,Exhibition,"Thomas Paine’s “Common Sense” was one of the most influential works of the American Revolution. The first edition was published on January 10, 1776, with an initial print run of just 1,000 copies; but within weeks demand soared. The students of Andy Murphy’s POLISCI 495 course co-curated the exhibition “Revolutionary Paine” to document the whirlwind caused by its publication. On view at the Clements January 16-May 8, weekdays from 12-4 pm.",https://events.umich.edu/event/143999,William Clements Library,Avenir Foundation Reading Room,William Clements Library,,"Americana
Exhibit
Exhibition
history",William L. Clements Library
144921-21896153,2/20/26 12:00,2/20/26 12:45,"Study Abroad in Sorrento, Italy - Fall/AY 2026",,Presentation,"Join CGIS Advisor, Joy Richardson, and Sant'Anna Institute staff to learn more about the CGIS: Humanities and Social Sciences in Sorrento (Italy) program, the application process, the academics, and life in Sorrento.Please note that both of these sessions will be virtual over Zoom. Both sessions will contain the same info, so students have the option to choose either one to attend.To learn more, visit the M-Compass brochure:https://mcompass.umich.edu/_portal/tds-program-brochure?programid=12125 and the Sant'Anna Institute website: https://www.santannainstitute.com/.",https://events.umich.edu/event/144921,,,Virtual,,"Abroad
global
global opportunities
international
International Education
Italian
Italian Studies
Sessions
study abroad
Travel","Sessions @ Michigan
Center for Global and Intercultural Study"
144343-21895186,2/20/26 12:00,2/20/26 12:30,"Vinson Lam, carillon",,Performance,"Vinson Lam performs on the Charles Baird Carillon, an instrument of 53 bronze bells located inside the Burton Memorial Tower. The largest bell, which strikes the hour, weighs 12 tons, while the smallest bell, 4½ octaves above, weighs just 15 pounds.

Thirty-minute recitals are performed on the Charles Baird Carillon at noon every weekday that classes are in session, followed by visitor Q&A with the carillonist. The bell chamber may be accessed via a combination of elevator and stairs. Take the elevator to the highest floor possible (floor 8), and then climb two flights of stairs (39 steps) to the bell chamber (floor 10). Hearing protection earmuffs are provided for visitors. Be prepared to walk on ice and snow in the bell chamber during winter. Built in 1936, the Charles Baird Carillon is not ADA accessible. Visitors with mobility concerns are invited to visit the Lurie Carillon.",https://events.umich.edu/event/144343,Burton Memorial Tower,,Burton Memorial Tower,Free - no tickets required,"Free
Music","School of Music, Theatre & Dance (SMTD)"
138950-21884336,2/20/26 12:00,2/20/26 17:00,Watcher of the Sky: Making and Remaking the Detroit Observatory,,Exhibition,"The Detroit Observatory was once a hub of astronomical discovery that put the University of Michigan on the map as a world-class research institution. A century later, it was an abandoned building with an uncertain future. From cornerstone to keystone, from the first director to the people who saved it from destruction, explore the life of a historic observatory 170 years in the making.

""Watcher of the Sky"" is being developed by student docents at the Detroit Observatory. Presented by the Judy and Stanley Frankel Detroit Observatory, part of the Bentley Historical Library.

""Watcher of the Sky"" is now on display at the Detroit Observatory (1398 Ann Street, Ann Arbor, 48109). View the exhibit during the Observatory's open hours:
Thursdays, 12-5 pm
Fridays, 12-5 pm",https://events.umich.edu/event/138950,Detroit Observatory,,Detroit Observatory,,"Astronomers
astronomy
bentley historical library
bentley library
Education
educational
Exhibition
free
history
Museum
museums
Science
U-m History
university history
university of michigan history","Judy and Stanley Frankel Detroit Observatory
Bentley Historical Library"
145182-21896771,2/20/26 13:00,2/20/26 13:45,INFO SESSION: Capstone Program in Creative Writing,,Livestream / Virtual,"Attention English Majors! 
If you'd like to write a poetry or prose collection in the company of other fiction writers and poets, the Capstone Program in Creative Writing may be for you!

Learn more here: https://lsa.umich.edu/english/undergraduate/capstone-programs/creative-writing-capstone.html",https://events.umich.edu/event/145182,Off Campus Location,,Virtual,,"Creative Writing
Department Of English Language And Literature
English Language And Literature
Undergraduate",Department of English Language and Literature
144702-21895742,2/20/26 13:00,2/20/26 14:00,Logic seminar: Infinitesimal and infinite numbers,Mauro di Nasso,Workshop / Seminar,"Throughout the history of human thought, the nature of infinite and infinitesimal quantities has been investigated by the best minds, and their actual use in calculus led to the modern development of mathematics. However, in the first years of the last century, the infinitesimals were banned from the world of mathematics, as their use was considered contradictory. It was only in the 1960s, when Robinson introduced nonstandard analysis, that the use of infinitesimal and infinite numbers in calculus was finally placed on rigorous foundations.

In this talk, I will present some historical observations on infinitesimal numbers, and then introduce the fundamental ideas of nonstandard analysis. In the final part of the seminar, I will also show some applications of nonstandard analysis in the discrete field of combinatorics, presenting new results recently proven in arithmetic Ramsey theory, including the following: In every finite coloring (partition) of the natural numbers, one can always find a monochromatic pattern of the form a, b, a+b, b/a.",https://events.umich.edu/event/144702,East Hall,3088,East Hall,,Mathematics,"Logic Seminar - Department of Mathematics
Department of Mathematics"
136450-21891322,2/20/26 13:00,2/20/26 15:00,LSA Opportunity Hub Pop-Up Coaching,,Careers / Jobs,"Pop Up Coaching at the LSA Opportunity Hub presents a low stakes opportunity for students to stop by our office, grab some popcorn, and engage in a brief 10-15 minute career coaching conversation with one of our career coaches, in addition to learning about our other services and offerings! 

Pop Up Coaching is held on select Fridays during the Fall and Winter semesters in the LSA Building from 1-3 PM-- No appointment necessary!",https://events.umich.edu/event/136450,LSA Building,LSA Opportunity Hub space - Main Floor,LSA Building,,"Career
Early Career Exploration
Lsa Opportunity Hub
Studentcaregiversweek2025
Studentcaregiversweek25
Undergraduate",LSA Opportunity Hub
145364-21897192,2/20/26 13:00,2/20/26 14:30,Pen Pal Matching and Letter Writing with Black and Pink,,Auditions,"Join the UMMA Student Advisory Board and Black and Pink from the School for Public Health (SPH) for a letter writing and pen pal matching session. Black and Pink at SPH is an abolitionist project working with incarcerated queer and trans individuals as well as those living with HIV in Michigan prisons. Coffee, tea, and snacks provided!

Free and open to the public.",https://events.umich.edu/event/145364,Museum of Art,Multipurpose Room,Museum of Art,0,,University of Michigan Museum of Art (UMMA)
145584-21897555,2/20/26 13:00,2/20/26 16:00,Plant with Us,,Social / Informal Gathering,"Come to the LSA SG Office, Room 1174, on Friday, February 20th, from 1-4!! Come and enjoy painting a pot and bringing home a free plant for your dorm, apartment, or house!!",https://events.umich.edu/event/145584,LSA Building,1174,LSA Building,,Sustainability,LSA Student Government
144203-21894838,2/20/26 13:00,2/20/26 14:00,Resume Lab,,Careers / Jobs,"*RSVP required to attend. Click ""Join Event"" here: https://umich.joinhandshake.com/edu/events/1894052Just getting started building a resume? Have a draft but not sure how to make it better? Want to learn about resources available to revise your resume? Wherever you’re at Resume Lab is a great next step for you. Get real-time, personalized support in a small group setting by checking out the Resume Lab.We will discuss and educate you on…- Design andformat- Writing a great bullet point- Targeting your resumefor specific internships/jobs If you're a Graduate Studentor Recent Grad, please make a 1:1 appointment instead of attending the Lab because this event is designed for undergraduates. Note:This event's information is shown in Handshake as well as on the Happening @ Michigan calendar so that it will be seen by a larger number of U-M Students.#UCC",https://events.umich.edu/event/144203,,,,,,University Career Center UCC
141325-21892201,2/20/26 13:00,2/20/26 13:45,Sky Tonight,,Exhibition,"A live presentation on what to find in the sky tonight and for the coming few weeks. This presentation includes how to find the cardinal directions with the North Star, current and upcoming constellations, visible planets, a few deep sky objects depending on the season, and other interesting astronomical visualizations. If you want to be able to look up from your own backyard and know what to look for, this is the show for you.",https://events.umich.edu/event/141325,Museum of Natural History,Planetarium & Dome Theater,Museum of Natural History,Tickets are $8 and are available in the museum store on the day of the show.,"Astronomy
Children
Family
Museum
museums
natural history museum
Natural Sciences
Planetarium
Prospective Undergraduate Students
Science
Space
Undergraduate",Planetarium & Dome Theater at the Museum of Natural History
144375-21895245,2/20/26 13:20,2/20/26 13:50,"Jenna Moon & Austin Zhu, carillon",,Performance,"Jenna Moon & Austin Zhu perform on the Ann & Robert H. Lurie Carillon, an instrument of 60 bells with the lowest bell (bourdon) weighing 6 tons.

Thirty-minute recitals are performed on the Lurie Carillon every weekday that classes are in session. During these recitals, visitors may take the elevator to level 2 to view the largest bells, or to level 3 to see the carillonist performing. (Visitors subject to acrophobia are recommended to visit level 2 only.) An optional spiral stairway between levels 2 and 3 allows for up-close views of some of the largest bells.",https://events.umich.edu/event/144375,Lurie Ann & Robert H. Tower,,Lurie Ann & Robert H. Tower,Free - no tickets required,"Free
Music
North Campus","School of Music, Theatre & Dance (SMTD)"
112863-21896029,2/20/26 13:30,2/20/26 15:00,Interdisciplinary Workshop on Comparative Politics & The Social Sciences,,Workshop / Seminar,"The Interdisciplinary Workshop in Comparative Politics & The Social Sciences (IWCP) provides a platform for sharing and improving research projects that use the comparative method to study the causes and effects of social, political and economic processes. We specifically welcome presenters, discussants, and participants from other social science fields to share their work with us. We have participants from Economics, the Ford School of Public Policy, the Law School, the Lieberthal-Rogel Center for Chinese Studies, Mathematics, Political Science, the Ross School of Business, Sociology, Statistics, and the Center for Emerging Democracies, and others. In other words: All are welcome.",https://events.umich.edu/event/112863,Haven Hall,Pre-Function Room 5769,Haven Hall,,"Department Of Political Science
Political Science",Department of Political Science
