name,titles,bio,profile_url
Will Foss,Lecturer of Entrepreneurial Studies,,https://michiganross.umich.edu/faculty-research/faculty/will-foss
Justin Frake,Assistant Professor of Strategy,"Biography I am an Assistant Professor of Strategy at the University of Michigan's Ross School of Business and an Associate Editor at Management Science . I study how individual perceptions and preferences shape organizational outcomes—often in unexpected ways. My research focuses on strategic human capital, stakeholder perceptions, organizational misconduct, and causal inference. My work has been published in Management Science , Organization Science , Strategic Management Journal , and Marketing Science . I currently teach Strategy 502 (Corporate Strategy, MBA) and STRAT 898 (Causal Inference Methods, PhD).",https://michiganross.umich.edu/faculty-research/faculty/justin-frake
Sophia Galifianakis,Lecturer of Business Communication,,https://michiganross.umich.edu/faculty-research/faculty/sophia-galifianakis
Lindsey Gallo,"Coopers and Lybrand, Norman E. Auerbach Assistant Professor of Accounting","Biography Lindsey Gallo is the Coopers and Lybrand, Norman E. Auerbach Assistant Professor of Accounting at the Ross School of Business. Her research interests include the interaction between firm-level information and the macroeconomy, firm-level uncertainty, and corporate governance. Professor Gallo's work has been published in top peer-reviewed journals such as Journal of Accounting Research , Journal of Accounting and Economics , and Review of Accounting Studies. She currently serves on the editorial board of The Accounting Review. At Ross, Professor Gallo teaches in both the MBA program and the Master of Accounting program. She is a two-time recipient of the Neary Teaching Excellence Award (2021 and 2023), which recognizes the best instructor in the daytime MBA program. Professor Gallo holds a Ph.D. from the University of Maryland's Smith School of Business. She earned her BBA and Master of Accounting degrees from the Ross School of Business at the University of Michigan, where she was an NCAA champion in track and field.",https://michiganross.umich.edu/faculty-research/faculty/lindsey-gallo
Cheng Gao,Assistant Professor of Strategy,"Biography Cheng Gao is an Assistant Professor of Strategy and Research Director of the Zell Lurie Institute for Entrepreneurship at Michigan Ross. His research focuses on innovation strategy, entrepreneurship, and nonmarket strategy. His research examines how firms navigate and shape nascent innovation industries, particularly those characterized by institutional and regulatory uncertainty. Gao's research is published in Administrative Science Quarterly, Strategic Management Journal, and Organization Science , and received the Academy of Management's Best Dissertation Award (Technology and Innovation Management Division) and the Heizer Doctoral Dissertation Award (Entrepreneurship Division). Gao teaches Advanced Competitive Strategy in the elective curriculum. He has received the Neary WMBA Teaching Excellence Award, the Neary BBA Teaching Excellence Award, and the Harvard University Certificate of Distinction in Teaching. He was also named by Poets & Quants as a ""Top 50 Undergraduate Business Professor"". Prior to academia, Gao was a management consultant at Oliver Wyman in the firm's New York office. Earlier, he served as principal research assistant to a former U.S. deputy assistant secretary of state at CSIS, a nonpartisan Washington think tank. Gao holds a doctoral degree in strategy from Harvard Business School and a bachelor’s degree in economics with high honors from Harvard College. He is a recipient of the HBS Dean’s Award for Service to the School and Society. He serves on the board of directors of Barton Malow.",https://michiganross.umich.edu/faculty-research/faculty/cheng-gao
Erik Gordon,Clinical Assistant Professor of Entrepreneurial Studies | Area Chair of Entrepreneurial Studies,"Biography Professor Gordon's areas of interest are entrepreneurship and technology commercialization, venture capital, private equity, mergers and acquisitions, corporate governance and activism, IPOs, investment banking, financial services, funds, antitrust, securities and financial services regulations, the biomedical industry, transportation, AI, ML, DL, and FinTech. He has served on the faculty of University of Michigan Law School. He served on the faculty and as Associate Dean and Director of the Graduate Division of Business & Management (Carey Business School) at Johns Hopkins University, where he taught in the business and medical schools, and at the University of Florida, where he also served as director of the Center for Technology & Science Commercialization Studies and as Director of MBA Programs. He is frequently quoted in The New York Times, BusinessWeek, The Wall Street Journal, Bloomberg, Reuters, BusinessInsider, AXIOS, and other outlets. He also appears on Marketplace and Marketplace Morning Report (in NPR's Morning Edition) and Bloomberg Television and Radio, CNBC, NBC, CBS, and PBS. His degrees are in economics and law.  He recently commented on teaching virtually during the pandemic: https://news.umich.edu/erik-gordon-the-path-less-taken-to-success/",https://michiganross.umich.edu/faculty-research/faculty/erik-gordon
Lindy Greer,Gerald and Esther Carey Professor of Business Administration | Professor of Management and Organizations,"Biography Lindred (Lindy) Greer is a Professor for Management & Organizations at Ross and the Faculty Director of the Sanger Leadership Center. Her research focuses on how to design and lead high-performing teams. Lindy has published in management and psychology research outlets such as Academy of Management Journal, Organization Science, Journal of Applied Psychology, Science , and Proceedings of the National Academy of Sciences . She has received awards for her research from the Academy of Management  and American Psychological Association. She is Deputy Editor at Organization Science , has served as an Associate/Senior Editor at the Academy of Management Journal and Organization Science , on the boards of six of the top management and psychology journals, and on the boards of professional associations such as the International Association of Conflict Management and the Conflict Management Division of the Academy of Management. Within her work with Michigan Ross Executive Education, she designs and runs C-suite and senior leadership development programs for some of the world’s most influential companies. Dr. Greer has received numerous awards for her teaching and real-world impact on companies, including the Michigan Ross Executive Education Impact Award, Top 40 under 40 Business School Professors from Poets & Quants, and Top 30 Management Thinkers to Watch from Thinkers50 Radar.  Example companies she has supported include Amazon, Carhartt, Ernst & Young, Exxon Mobil, General Motors, Google, KPMG, Life Time Fitness, the National Football League, Oracle, Sequoia Capital, United States Office of National Intelligence, Toyota, and Wabash. Lindy received her B.S. from the Wharton School of Business at the University of Pennsylvania, and her Ph.D. in social and organizational psychology from Leiden University in the Netherlands. She joined the team at Ross in 2019.",https://michiganross.umich.edu/faculty-research/faculty/lindy-greer
Tom Gritter,Lecturer of Finance,"Biography Tom has 20 years of real estate development, asset management and transactional experience across the hospitality, multifamily and commercial real estate industries. Tom began his career at Victor International, a luxury land development company specializing in resort development. At Victor Tom worked primarily on Bay Harbor, the ULI Award Winning 1,100-acre luxury resort developed on a brownfield site in northern Michigan, and Oil Nut Bay, a 600-acre resort development on Virgin Gorda in the British Virgin Islands. He then had a ten-year career at McKinley Companies, a full-service real estate investment company in Ann Arbor, MI. Tom led McKinley’s 3rd party distressed assets division managing a portfolio of commercial assets across the country during the Great Recession.  Tom then oversaw McKinley’s owned 3,000,000 square feet commercial portfolio and subsequently performed all of McKinley's ground up and redevelopment multifamily projects in Michigan and Florida.  After McKinley Tom was the President of Wickfield Properties, a real estate investment firm based in Ann Arbor, MI where he led the company's operations, leasing and asset management. In 2019 Tom founded Gritter Real Estate Services where he specializes in commercial real estate brokerage, asset management, incentive procurement and real estate development services. Tom is a licensed real estate broker in the State of Michigan and was a 4-year letter winner for the University of Michigan Soccer Team, leading the team to the NCAA Elite 8. Tom is a graduate of the Ross School of Business at the University of Michigan where he earned a BBA degree with high distinction and he currently is an Intermittent Lecturer at the Ross School of Business where he teaches both undergraduate and graduate courses.",https://michiganross.umich.edu/faculty-research/faculty/tom-gritter
Jerome Gronniger,Lecturer of Business Economics and Public Policy,,https://michiganross.umich.edu/faculty-research/faculty/jerome-gronniger
Vinay Gupta,Lecturer of Business Administration,,https://michiganross.umich.edu/faculty-research/faculty/vinay-gupta
Andreas Hagemann,Associate Professor of Business Economics and Public Policy,,https://michiganross.umich.edu/faculty-research/faculty/andreas-hagemann
Jason Hall,Lecturer of Finance,"Biography I teach classes in corporate investment decisions, options & futures, and big data including machine learning. In 2020 I was awarded the Neary Teaching Excellence Award by Weekend MBA students and, in 2009 while at The University of Queensland, won the undergraduate teaching prize. My research has resulted in 16 publications in journals that include Review of Accounting Studies (expected share market returns from analyst forecasts), Accounting & Finance (imputation credits, superannuation, merger arbitrage), International Review of Finance (imputation credits), Applied Financial Economics (sector rotation), Journal of Contemporary Accounting & Economics (analyst forecast accuracy), Australian Journal of Management (persistence in earnings growth), JASSA (real options), and Accounting Research Journal (systematic risk measurement). My research has been relied upon by corporations listed on the Australian Securities Exchange, regulatory authorities, the New South Wales Treasury and the Australian Competition Tribunal. Prior to commencing an academic career I performed equities research for Credit Suisse in Sydney.",https://michiganross.umich.edu/faculty-research/faculty/jason-hall
Savannah Hall,Lecturer of Business Communications,,https://michiganross.umich.edu/faculty-research/faculty/savannah-hall
Dae Woong (David) Ham,Assistant Professor of Technology and Operations,"Biography I conduct research in the intersection of causal inference and business/social science applications. A lot of my research is motivated by an existing problem in real practice, e.g., the need for modern large digital tech companies to efficiently analyze hundreds of thousands of experiments with proper statistical guarantees, without a feasible or appropriate existing solution. Though I am in the operations department, I have obtained my Ph.D. from the Harvard Statistics Department and plan to continue to do methodological work in statistics. I have worked closely with tech companies, e.g. Netflix, on experimentation and causal inference problems. On the other hand, I have also worked on social science problems with interesting statistical gaps in the current literature. Finally, I have written papers just purely on causal inference methodologies and theory, contributing to the growing literature and importance of causal inference methods in practice. At a high level, I am a causal inference researcher. Specifically, I am interested in experimentation, adaptive and sequential inference, Difference-in-Difference and Matching, randomization inference (Fisher-Based Testing), design-based causal inference, and non-parameteric statistics.",https://michiganross.umich.edu/faculty-research/faculty/dae-woong-david-ham
Gerry Hargrove,Lecturer of Business Law,,https://michiganross.umich.edu/faculty-research/faculty/gerry-hargrove
Stuart Hart,Lecturer of Strategy,"Biography Stuart Hart is one of the world's top authorities on the implications of environment and poverty for business strategy.  He is Professor in Residence at the University of Michigan’s Erb Institute for Global Sustainable Enterprise. He was the founder of the Erb Institute’s dual master’s program in the early 1990s and then went on to hold faculty positions and launch centers for sustainable business at the University of North Carolina’s Kenan-Flagler Business School and Cornell University’s Johnson School of Management, where he is S.C. Johnson Professor Emeritus. Most recently, Hart was Professor and Steven Grossman Endowed Chair in Sustainable Business at the University of Vermont’s Grossman School of Business where he was co-founder and director of the school’s new Sustainable Innovation MBA Program and still serves as Distinguished Fellow. Professor Hart has published over 100 papers and authored or edited nine books, with over 50,000 Google Scholar citations. His work has appeared in leading scholarly journals, including Academy of Management Review, Academy of Management Journal, Strategic Management Journal, Journal of International Business Studies, and Management Science, as well as leading practitioner journals, such as Harvard Business Review, Sloan Management Review, Stanford Social Innovation Review, Academy of Management Executive, Strategy+Business, and Foreign Affairs. His 1995 article ""A Natural Resource-Based View of the Firm"" is among the most highly cited academic works in the field of sustainable business. In addition, he wrote the seminal article ""Beyond Greening: Strategies for a Sustainable World,"" which won the McKinsey Award for Best Article in Harvard Business Review in 1997, and helped launch the movement for corporate sustainability. With C.K. Prahalad, Hart also wrote the path-breaking 2002 article ""The Fortune at the Bottom of the Pyramid,"" which provided the first articulation of how business could profitably serve the needs of the four billion poor in the developing world. With Ted London, Hart is the author of Next Generation Business Strategies for the Base of the Pyramid. His best-selling book, Capitalism at the Crossroads , published in 2005, was selected by Cambridge University as one of the 50 top books on sustainability of all-time; the third edition of the book was published in 2010.  His new book, Beyond Shareholder Primacy: Remaking Capitalism for a Sustainable Future was published by Stanford Business Books in 2024. Stuart Hart has received numerous honors and awards for his work in the area of sustainable enterprise. In addition to the 1997 McKinsey Award, his 2001 paper ""Do Corporate Global Environmental Standards Create or Destroy Market Value? (with G. Dowell and B. Yeung) won the Moskowitz Prize for outstanding research in the field of socially responsible investing. In addition, he was recognized as a ""Faculty Pioneer"" by the World Resources Institute in 1999 for his work in integrating environmental and social issues into the management education curriculum. In 2002, he won the Gerald R. Barrett Award as the faculty member who contributed the most to the MBA Program at UNC through his scholarship, teaching, and service. And, in 2014, he received the inaugural Distinguished Scholar Award from the Academy of Management’s Organizations and Natural Environment (ONE) Division. He has served as consultant, adviser, or management educator for dozens of corporations and organizations including Dupont, S. C. Johnson, Natura, Pepsico, Dow, General Electric, Trane Technologies, Griffith Foods, Cemex, Ford, Caterpillar, Novelis, Unilever, Philips, Novo Nordisk, the World Economic Forum, and the Clinton Global Initiative.  He is an internationally recognized speaker and has delivered hundreds of keynote addresses on the topic of sustainable business around the world. Stuart Hart earned his Bachelor's degree from the University of Rochester (General Science), Master's degree from Yale University's School of Forestry and Environmental Studies (Environmental Management), and Ph.D. from the University of Michigan (Planning and Strategy). Email: [email protected]",https://michiganross.umich.edu/faculty-research/faculty/stuart-hart
David Hawkins,Lecturer of Business Communication,,https://michiganross.umich.edu/faculty-research/faculty/david-hawkins
Morela Hernandez,"Ligia Ramirez de Reynolds Collegiate Professor of Public Policy, Gerald R. Ford School of Public Policy | Professor of Management and Organizations (courtesy), Ross School of Business",,https://michiganross.umich.edu/faculty-research/faculty/morela-hernandez
David Hess,Area Chair of Business Law | Everett E Berg Professor of Business Administration | Professor of Business Law,"Biography David Hess is the Everett E. Berg Professor of Business Administration and Professor of Business Law at the Ross School of Business at the University of Michigan. He is also a Research Member of the European Corporate Goverance Institute (ECGI). Professor Hess is the Law, Public Policy, and Business Ethics Section Editor for the Journal of Business Ethics, and he serves on the editorial boards of the American Business Law Journal, Business Ethics Quarterly, and the Business and Human Rights Journal. Professor Hess is currently co-President of the Global Business and Human Rights Scholars Association, and he served as the Reporter for the American Bar Association’s Criminal Justice Standards on corporate monitors. He is the author of the 2024 book Advanced Introduction to Corporate Compliance . Professor Hess has taught a variety of courses on business law, business ethics, business and human rights, corporate governance, corporate social responsibility, and negotiations. Professor Hess’s research focuses primarily on the role of the law in ensuring corporate accountability. His publications in this area have analyzed the use of non-financial reporting by corporations; efforts to combat corruption in international business; the link between corruption and business and human rights; human rights due diligence; modern slavery in global supply chains; the use of corporate monitors in criminal settlements; and the role of compliance and ethics programs in creating more ethical corporate cultures. This research has been published in leading law, ethics, and management journals, and has been recognized with national awards, such as the Faculty Pioneer Award from The Aspen Institute.",https://michiganross.umich.edu/faculty-research/faculty/david-hess
David Hiemstra,Intermittent Lecturer in Business,,https://michiganross.umich.edu/faculty-research/faculty/david-hiemstra
James Hines Jr,"Professor of Business Economics | Professor of Public Policy Studies, SPPS | Professor of Economics, LSA | Research Director, Office of Tax Policy Research","Biography James R. Hines Jr. studies international taxation, particularly the taxation of multinational corporations. His work focuses on issues in transfer pricing, the financing of foreign direct investment, the influence of tax regimes on the location of R&D and physical investment, the design of tax treaty policy and the use of tax policy to control the actions of multinational firms. His research also examines the impact of domestic tax incentives on investment in the United States, issues related to tax compliance and the impact of tax exemption for nonprofit organizations in the United States.",https://michiganross.umich.edu/faculty-research/faculty/james-hines-jr
Andy Hoffman,"Professor of Management and Organizations | Professor of Environment and Sustainability, SEAS | Holcim (US), Inc. Professor of Sustainable Enterprise","Biography Andrew (Andy) Hoffman is the Holcim (US) Professor of Sustainable Enterprise at the University of Michigan; a position that holds joint appointments in the Stephen M. Ross School of Business and the School for Environment & Sustainability.  Professor Hoffman's research uses organizational behavior models and theories to understand the cultural and institutional aspects of environmental issues for organizations.  He has published over 100 articles/book chapters, as well as 19 books, which have been translated into six languages. In this work, he focuses on the processes by which environmental issues both emerge and evolve as social, political and managerial issues, including: the evolving nature of field level pressures related to environmental issues; the corporate responses that have emerged as a result of those pressures, particularly around the issue of climate change; the interconnected networks among non-governmental organizations and corporations and how those networks influence change processes within cultural and institutional systems; the social and psychological barriers to these change processes; and the underlying cultural values that are engaged when these barriers are overcome. He also writes about the role of academic scholars in public and political discourse.  Among his list of honors, he has been awarded theUN PRME Teaching Award (2024), Victor L. Bernard Teaching Award (2023), RRBM Best Book Award (2022), ONE Teaching Award (2020), Responsible Research in Management Award (2019), Distinguished Faculty Award for the Organizations & Natural Environment Division of the Academy of Management (2018), Aspen Institute Ideas Worth Teaching Award (2018), Aspen Institute Faculty Pioneer Award (2016), American Chemical Society National Award (2016), Strategic Organization Best Essay Award (2016), Organization & Environment Best Paper Award (2014), Maggie Award (2013), JMI Breaking the Frame Award (2012), Connecticut Book Award (2011), Aldo Leopold Fellowship (2011), Aspen Environmental Fellowship (2011 and 2009), Manos Page Prize (2009), Aspen Institute Rising Star Award (2003), Rachel Carson Book Prize (2001) and Klegerman Award (1995).  His work has been covered in numerous media outlets, including the New York Times, Scientific American, Time, the Wall Street Journal, National Geographic, Atlantic and National Public Radio . He has served on numerous research committees for the National Academies of Science, the Johnson Foundation, the Climate Group, the China Council for International Cooperation on Environment and Development and the Environmental Defense Fund. Prior to academics, Andy worked for the US Environmental Protection Agency (Region 1), Metcalf & Eddy Environmental Consultants, T&T Construction & Design and the Amoco Corporation. Andy serves on advisory boards for ecoAmerica, the Michigan League of Conservation Voters, the Widlife Habitat Council, the Center for Environmental Innovation and the Stanford Social Innovation Review .",https://michiganross.umich.edu/faculty-research/faculty/andy-hoffman
Ali Hojjat,Lecturer of Technology and Operations,,https://michiganross.umich.edu/faculty-research/faculty/ali-hojjat
David Horowitz,Lecturer of Finance,"Biography David is a lecturer at the University of Michigan Ross School of Business with a focus on venture capital. David has taught FIN 430 and is currently teaching FIN 444: Applied Venture Capital. David also frequently guest lectures on the topic of corporate venture capital at several universities, including the University of Michigan Ross School of Business, Carnegie Mellon Tepper School of Business, Tulane Freeman School of Business, and several others. David is also a Partner at Cerity Partners, a leading wealth and investment management firm. David co-leads the Cerity Partners Ventures practice. Before joining Cerity Partners, David co-founded Touchdown Ventures, which pioneered “venture capital as a service” by partnering with leading corporations to manage their venture capital programs. This unique model supports corporate innovation efforts by focusing on strategic benefits and financial returns, enabling collaboration between corporates and start-ups. David began his venture and corporate venture career in 2000 as one of the founding team members of Comcast Ventures, the venture capital arm of Comcast Corporation. At Comcast Ventures, David led investments in digital media, advertising technology, digital home, education, and financial technology. David was also a founder and a partner at Genacast Ventures, a seed-stage venture capital fund backed by Comcast Ventures. David's career began as an investment banker at Bear Stearns. David also serves on the board of the National Football Foundation (the organization that operates the College Football Hall of Fame) and has been an advisor to the MPower initiative for Michigan's Football team.",https://michiganross.umich.edu/faculty-research/faculty/david-horowitz
Justin T. Huang,Lecturer of Marketing,"Biography Justin T. Huang is a researcher and LEO Lecturer of Marketing at University of Michigan Ross School of Business, where he teaches and coordinates the undergraduate marketing core. His research examines digital platforms, content creation, and the interactions between business & society, with interests spanning platform design, influencer marketing, advertising technologies, AI, and content moderation. His work has been published in leading journals including Marketing Science , Nature Human Behaviour , and Information & Management . His research on the economic costs of anti-Asian racism during the COVID-19 pandemic received extensive media attention, including coverage by NBC , NPR , the Associated Press , Washington Post, and The Hill . Other research projects examine advertising applications of generative AI, the role of language in influencer marketing, the dynamics of live streaming platforms, and political bias in content moderation on social media. In addition to his teaching and scholarship, Huang is a regular commentator on business and technology trends. He has been interviewed by outlets including Good Morning America , The Detroit News , Axios , Nikkei , the Australian Broadcasting Corporation , and NPR on topics including TikTok regulation, social media trends, online platform governance, and the Asian American experience. He also collaborates with businesses and nonprofits through Ross’s action-based learning programs. Huang received his Ph.D. in Marketing from the Stanford Graduate School of Business, and dual B.S. in Mathematics and B.A. in Economics from the University of Maryland.",https://michiganross.umich.edu/faculty-research/faculty/justin-t-huang
Eun Bit Hwang,Lecturer of Management and Organizations,"Biography Eun Bit Hwang, Ph.D. is a Lecturer in Management & Organizations at the University of Michigan Ross School of Business and serves on the Faculty Advisory Board of the Center for Positive Organizations. Eun Bit's research explores the ways organization members can break free from objectifying exchange relationships and instead experience human encounter at work. Her scholarship encourages us to revisit how we have thought about human existence and relationality in work contexts. She navigates her research questions primarily through qualitative research methods. Her scholarship has been honored with the University of Michigan's CEW+ Scholar award for its potential to make a meaningful impact on local and global communities. Beyond her research, Eun Bit is a dedicated educator. She currently teaches Business & Leaders: The Positive Difference, a core course for sophomores in the BBA program. Previously, she taught Behavioral Theory in Management, a core BBA course for juniors. Eun Bit graduated with honors from Dartmouth College with a Bachelor of Arts degree in Economics and holds a Master of Arts degree in Applied Positive Psychology from the University of Pennsylvania. She received her Ph.D. in Management and Organizations from the University of Michigan.",https://michiganross.umich.edu/faculty-research/faculty/eun-bit-hwang
Raffi Indjejikian,Carlton H. Griffin-Deloitte & Touche LLP Collegiate Professor of Accounting,"Biography Raffi Indjejikian is the Carlton H. Griffin-Deloitte & Touche LLP Collegiate Professor of Accounting at the Ross School of Business, University of Michigan. Before joining Michigan, he served as an Associate Professor at the University of Chicago. He received his Ph.D. from the Wharton School and his MBA from the University of Western Ontario. Professor Indjejikian teaches MBA-level financial and managerial accounting and a seminar in accounting theory. Professor Indjejikian’s research focus is agency theory and its application to accounting practices in organizations. His work has been published in a variety of journals including Journal of Accounting and Economics, Journal of Accounting Research, The Accounting Review, Management Science, Contemporary Accounting Research, International Review of Law and Economics, Foundations and Trends in Accounting, and Accounting Horizons. Professor Indjejikian has served as an associate editor of The Accounting Review, Contemporary Accounting Research, Management Science, and the Journal of Accounting, Auditing and Finance. Currently he serves on the editorial boards of Contemporary Accounting Research and the Review of Accounting Studies.",https://michiganross.umich.edu/faculty-research/faculty/raffi-indjejikian
Stefanus Jasin,Professor of Technology and Operations,"Biography Stefanus Jasin is a Professor of Technology and Operations at Stephen M. Ross Business School, University of Michigan. His research focuses on developing tools/algorithms for predictive and prescriptive analytics, with recent applications in pricing and revenue management, assortment optimization, supply chain management, e-commerce/omni-channel logistics, and online learning and optimization. His works in collaboration with several students and co-authors have been acknowledged by several awards, including 2023 Finalist in POMS-HK Student Paper Competition, 2022 Winner of EURO Pricing and Revenue Management Student Award, 2022  Second Prize in POMS-HK Student Paper Competition, 2019 Finalist in POMS-JD.com Best Paper Competition, 2018 Finalist in MSOM Student Paper Competition, 2018 Finalist in IBM Best Student Award Competition, 2018 Winner of INFORMS Revenue Management and Pricing Section Prize Award, 2017 Winner of INFORMS eBusiness Best Paper Award, and 2017 Second Prize in POMS-HK Student Paper Competition. He is currently serving as the Department Editor for Revenue Management and Market Analytics department at POMS. He is also an Associate Editor at Operations Research, Manufacturing and Service Operations Management, and Naval Research Logistics. He is a previous Associate Editor at Management Science.",https://michiganross.umich.edu/faculty-research/faculty/stefanus-jasin
Michael Jensen,Professor of Strategy,"Biography My research focuses on the role of social structures in markets. I view markets as social structures that encompass social networks and cognitive categories. Within this broad theoretical framework, my research focuses mainly on deepening our understanding of how status, reputation, and identity shape various important outcomes for organizations and individuals in a variety of different empirical contexts. I teach (or have taught) corporate strategy, strategic alliances, and sociology of strategy in the BBA, MBA, and Ph.D. programs. I have received the BBA and the Global MBA Student Awards for Teaching Excellence. I am an International Research Fellow at the Oxford University Centre for Corporate Reputation. Selected Academic Publications: When “Less Is More”: How Statistical Discrimination Can Decrease Predictive Accuracy. Organization Science, forthcoming. Single-Actor Scandal or Multiple-Actor Scandal? A Framework for Studying Scandal Dynamics. Research in the Sociology of Organizations, forthcoming. The Paradox of Awards: How Status Ripples Affect Who Benefits from CEO Awards. Organization Science, 2022, 33: 946-968. Catching the Big Fish: The Role of Scandals in Making Status a Liability. Academy of Management Journal, 2020, 63: 1652-1678. Reaching For the Stars: The Importance of Reputational Rank in Artistic Career Success. Poetics, 2020, 80: 1-19. A Bridge Too Far: Divestiture as a Strategic Reaction to Status Inconsistency. Management Science, 2019, 65: 859-878. Social Evaluation: Status and Reputation. Oxford Bibliographies, edited by Ricky W. Griffin, Oxford University Press, 2019. Not in the Same Boat: How Status Inconsistency Affects Research Performance in Business Schools. Academy of Management Journal, 2018, 61: 1021-1049. I Can Do That Alone…or Not? How Idea Generators Juggle Between the Pros and Cons of Teamwork. Strategic Management Journal, 2018, 39: 458-475. Status. In The SAGE Encyclopedia of Corporate Reputation, edited by Craig Carroll, SAGE Publications, 2016: Vol. 2 804-806. The Real Oscar Curse: The Negative Consequences of Positive Status Shifts. Organization Science, 2015, 26: 1-21. Audience Heterogeneity and the Effectiveness of Market Signals: How to Overcome Liabilities of Foreignness in Film Exports? Academy of Management Journal, 2014, 57: 1360-1384. Great, Madama Butterfly Again! How Robust Market Identity Shapes Opera Repertoires. Organization Science, 2014, 25: 109-126. Meeting Expectations: A Role-Theoretic Perspective on Reputation. In The Oxford Handbook of Corporate Reputation, edited by Michael L. Barnett and Timothy G. Pollock. Oxford University Press, 2012, 140-159. How Product Order Affects Market Identity: Repertoire Ordering in the U.S. Opera Market. Administrative Science Quarterly, 2011, 56: 238-256. The Importance of Status in Markets: A Market Identity Perspective. In Status in Management and Organizations, edited by Jone L. Pearce. Cambridge University Press, 2011, 87-117. Legitimizing Illegitimacy: How Creating Market Identity Legitimizes Illegitimate Products. Research in the Sociology of Organizations, 2010, 31: 39-80. The Use of Relational Discrimination to Manage Market Entry: When Do Social Status and Structural Holes Work Against You? Academy of Management Journal, 2008, 51: 723-743. Staging Exchange Partner Choices: When Do Status and Reputation Matter? Academy of Management Journal, 2008, 51: 495-516. Should We Stay or Should We Go? Accountability, Status Anxiety, and Client Defections. Administrative Science Quarterly, 2006, 51: 97-128. Who Gets Wall Street's Attention? How Alliance Announcements and Alliance Density Affect Analyst Coverage. Strategic Organization, 2004, 2: 293-312. Corporate Elites and Corporate Strategy: How Demographic Preferences and Structural Position Shape the Scope of the Firm. Strategic Management Journal, 2004, 25: 507-524. The Role of Network Resources in Market Entry: Commercial Banks' Entry Into Investment Banking, 1991-1997. Administrative Science Quarterly, 2003, 48: 466-497. My papers can be downloaded here .",https://michiganross.umich.edu/faculty-research/faculty/michael-jensen
Mike Johnson,Lecturer of Entrepreneurial Studies | Entrepreneur-in-Residence,"Biography Dr. Johnson is an Entrepreneur in Residence and Lecturer in Entrepreneurial Studies at the Zell Lurie Institute for Entrepreneurial Studies, and Faculty Managing Director of the Zell Lurie Commercialization Fund (ES702). His areas of interest are entrepreneurship, venture capital, technology and the future of healthcare. He joined Ross from Flagship Ventures where he led the Midwest office for the life science venture capital fund. He holds MD and MBA degrees from the University of Michigan Medical School / Ross School of Business and a BA degree in English from Duke University.",https://michiganross.umich.edu/faculty-research/faculty/mike-johnson
Aparna Joshi,Professor of Management and Organizations,"Biography Aparna Joshi is an award-winning organizational scholar who studies the science of how human beings recognize , respond to, and then relate to one another across differences. Her research highlights how leaders can transcend differences to forge positive change in and around organizations. Over the past twenty years, Aparna’s research has focused on how social differences translate into inequality with a specific focus on gender differences across a range of professional settings such as among scientists, lawyers, engineers and chief executives. Her research aims at building actionable theoretical models that can inform practices aimed at reducing barriers and enhancing inclusion in these settings. Prior to joining Michigan Ross she was on the faculty of the Smeal College of Business, Pennsylvania State University and at the University of Illinois, Champaign-Urbana. Aparna's research appears in the leading journals in the field of management including Administrative Science Quarterly, Academy of Management Review, Academy of Management Journal, Journal of Applied Psychology, Organizational Behavior and Human Decision Processes, and Organization Science. Her work in the area of gender dynamics in engineering work groups also recieved a National Science Foundation grant. In 2025 she recieved the  Academy of Management Journal (AMJ) Impact Award. This honor is given annually by peers in the field to research published over the past two decades that exemplifies the rare balance of theoretical depth and practical impact, shaping the way organizations and society think about leadership. In addition, in 2014 Aparna was awarded the prestigious Cummings Award for Early to Mid-Career Scholarly Achievement , one of the highest professional honors in the field, by the Organizational Behavior Division of the Academy of Management and she was appointed a Fellow of the Academy of Management in 2019 . She has also been featured on Stanford’s list of the top 2% of research scientists in the world. Her work has also received the Saroj Parasuraman Award in 2010, the Dorothy Harlow Distinguished Paper Award in 2006 and 2008, as well as the Academy of Management’s Best Dissertation Award (Gender and Diversity in Organizations division) and has also been featured in numerous media outlets. Aparna has served on the editorial boards of top journals and as an Associate Editor for the Academy of Management Journal as well as the Administrative Science Quarterly . Over the past two decades Aparna has also enjoyed working with a number of doctoral students who are today faculty at top business schools all over the world. Google Scholar link: https://scholar.google.com/citations?user=Z8DumowAAAAJ&hl=en Personal website: https://www.aparnajoshi.net/",https://michiganross.umich.edu/faculty-research/faculty/aparna-joshi
Itay Kama,Clinical Assistant Professor of Accounting | Clyne Crawford Teaching Fellow,"Biography Itay Kama is a Clinical Assistant Professor of Accounting at the Ross School of Business, University of Michigan. His research focuses on the role of accounting information in capital markets and on financial statement analysis. Its unifying theme is in exploring the properties of earning quality and the factors that may affect the usefulness of the information contained in financial reports. Also, he is interested in integrating typical managerial and financial research topics to promote our understanding of the determinants of firms’ cost behavior. His professional experience includes working in the advisory group of PwC and EY, as well as private consulting. Fields of interest: Financial statement analysis; Earnings quality; The role of accounting information in capital markets; Earnings and cash management; Textual analysis; Cost behavior",https://michiganross.umich.edu/faculty-research/faculty/itay-kama
