course_number,title,term,credit_hours,instructor,description
EAS 501.158,UN Framework Convention on Climate Change,Fall 2025,1,Avik Basu,"The United Nations Framework Convention on Climate Change (UNFCCC) is the primary vehicle for international negotiations addressing anthropogenic climate change. Once a year, the parties to the framework attend a meeting known as the Conference of the Parties (COP). The University of Michigan attained observer status in 2009, and students and faculty have attended, every year, as observer delegates. This course, provided in the Fall term, prepares student delegates and others interested in the UNFCCC. Outreach to the University community is required after the conference."
EAS 501.179,Environmental Communication in a Social World,Winter 2026,3,Nathaniel Geiger,"This class explores how to effectively communicate about environmental issues based on the premise that people are fundamentally social beings.  We will consider how principles of social influence, social support, social identity, social norms, collective efficacy, theories of activism and social movements, power and social status, can be leveraged to improve environmental communication. The class will draw from a variety of social scientific disciplines, including but not limited to interpersonal communication, small group communication, and social psychology."
EAS 501.183,Environmental Advocacy,Fall 2025,3,Geoffrey Henderson,"How can environmental groups successfully advocate for the enactment of policies to address problems like climate change and pollution? In this course, we will use historical and recent case studies to examine environmental organizations' strategies such as grassroots organizing, coalition-building, and legislative lobbying. To understand what can make these strategies effective, we will consider the incentives and information available to policymakers, including their relationships with political parties and interest groups. While the course will focus mostly on cases of advocacy in the United States at the state and federal levels, it will also include cases in other countries and at the international level. Students will have the opportunity to develop skills that will prepare them for communication and negotiation with policymakers, stakeholder groups, and the broader public."
EAS 501.227,Economic Approaches to Environment and Development,Winter 2026,3,Nina Brooks,"Reducing global poverty and protecting the environment—including addressing climate change—are among the most urgent challenges facing our world today. These issues are also closely linked. Environmental problems, like climate change and pollution, can slow or reverse progress in health, education, and economic well-being. At the same time, the way countries develop economically can worsen environmental problems or help to solve them. This course explores the relationships between economic development and the environment through real-world examples, drawing on conceptual frameworks from development and environmental economics."
EAS 501.297,Biogeochemical Cycles,Winter 2025,3,Silvia Santa Maria Newell,"This course examines how the components of Earth (biosphere, hydrosphere, lithosphere, atmosphere) combine to affect how nutrients cycle through and between these components.  This understanding forms the basis of the field of biogeochemistry.  We also examine related environmental issues such as climate change, aquatic nutrient pollution (eutrophication) and mitigation, and acid rain.  We also examine how the major nutrients move through different ecosystems (lakes, oceans, wetlands, forests, etc.)."
EAS 503.001,Sustainable Sites & Historical Precedent,Winter 2026,3,Stan Jones,"This course examines landscape history through a series of ten spatial typologies that span from Neolithic times into today, revealing the central ways that human beings idealize, sanctify, manipulate, exploit and express themselves through the changing medium of their environment."
EAS 506.001,Intro to R,Fall 2025,1,"Brian Weeks Bhagawat, Chaiti Chinmoy","This 2-day course will introduce students to the beauty and power of R! By the end of the course, you will learn the basics of coding in R (e.g., how to load in data, how to clean datasets, how to create plots, and how to prepare your data for statistical analyses). You will also be introduced to basic concepts of coding (e.g., what is a vector, what is a list, how and why would I use loops and/or functions). This class is open to anyone who is interested in learning the basics of using R; it is important to note that we will not cover how to do statistics in R, since that is what is covered in EAS 538."
EAS 506.001,Intro to R,Winter 2025,1,"Brian Weeks Bhagawat, Chaiti Chinmoy",
EAS 506.002,Intro to R,Fall 2025,1,"Brian Weeks Bhagawat, Chaiti Chinmoy","This 2-day course will introduce students to the beauty and power of R! By the end of the course, you will learn the basics of coding in R (e.g., how to load in data, how to clean datasets, how to create plots, and how to prepare your data for statistical analyses). You will also be introduced to basic concepts of coding (e.g., what is a vector, what is a list, how and why would I use loops and/or functions). This class is open to anyone who is interested in learning the basics of using R; it is important to note that we will not cover how to do statistics in R, since that is what is covered in EAS 538."
EAS 507.001,Int Res Eco Sci Mgmt,Winter 2026,2,"Silvia Santa Maria Newell Gunther, Ana","This course serves as a core course for Masters students in the Ecosystem Science and Management specialization. The course builds broad knowledge on a range of current topics in ecology, earth sciences and conservation. Topics range from citizen science to data integration, from forests to fishes, from genetics to populations, communities and ecosystems. Students will have the opportunity to interact with top scientists in their field and evaluate research at the frontiers of conservation ecology. Students in this course will examine how science is communicated in the literature and in public seminars. The course explores how research is shared, collaborations are developed and how the cross-pollination of ideas between labs, universities and practitioners improves conservation. This course will prepare students to assess the state of knowledge on applied topics, to identify gaps and evaluate recent developments and to translate science to audiences. These practices are continually refined in both academic and nonacademic careers in our field."
EAS 509.001,Ecology: Concpts&App,Fall 2025,4,Sheila Schueller,"EAS 509 is a core ecology course aimed to provide students with the foundational knowledge and skills that will prepare them for other courses as well as their environmental careers, which require making informed and interdisciplinary decisions. Through lectures and either hands-on field labs or data science, we will examine how organisms respond to their physical environment, interact with each other in populations and communities across the landscape, and affect the movement of energy and nutrients through terrestrial and aquatic ecosystems. Principles will be presented in the context of global change, and students will be introduced to some relevant design, analysis, and planning tools. Coursework will build skills in the design and interpretation of ecological research, clear communication of ecological concepts, and systems thinking."
EAS 509.001,Ecology: Concpts&App,Winter 2026,4,Stella Cousins,"This course explores the distribution and abundance of organisms and how living things interact with each other and with their environment. In this course, you will have the opportunity to learn about a vast array of ecological patterns and the processes that generate them. Topics include the maintenance of biodiversity, species interactions, disturbance dynamics, populations and demography, community organization, and global nutrient cycles, among many others. Through examples, inquiry-based activities, and data-driven lab explorations, we will apply these ecological principles to a variety of complex environmental problems that confront society today. You will also discover your own ecological relationships through an original research project using open environmental data. My overall goal as you navigate this course is that you will gain the foundational knowledge and tools that are helpful for critically evaluating global environmental challenges and finding solutions. Most importantly, I hope you complete this course with the fluency and confidence needed to continue building ecological knowledge through a lifetime of learning about and tending to our world."
EAS 509.002,Ecology: Concpts&App,Fall 2025,4,"Sheila Schueller Garcia, Mateo Hanson",
EAS 509.002,Ecology: Concpts&App,Winter 2026,4,"Stella Cousins Hamilton, Samantha Nikita Miho",
EAS 509.003,Ecology: Concpts&App,Fall 2025,4,"Sheila Schueller Garcia, Mateo Hanson",
EAS 509.003,Ecology: Concpts&App,Winter 2026,4,"Stella Cousins Hamilton, Samantha Nikita Miho",
EAS 509.004,Ecology: Concpts&App,Fall 2025,4,"Sheila Schueller Richter, Collin",
EAS 509.005,Ecology: Concpts&App,Fall 2025,4,"Sheila Schueller Richter, Collin",
EAS 509.006,Ecology: Concpts&App,Fall 2025,4,"Sheila Schueller Liu, Yi",
EAS 509.007,Ecology: Concpts&App,Fall 2025,4,"Sheila Schueller Liu, Yi",
EAS 509.008,Ecology: Concpts&App,Fall 2025,4,"Sheila Schueller Cline, Elsa",
EAS 509.009,Ecology: Concpts&App,Fall 2025,4,"Sheila Schueller Cline, Elsa",
EAS 510.001,Science and Practice of Social Change,Fall 2025,3,M'Lis Bartlett,"The current environmental challenges facing humanity are grounded in complex social systems. Solving them will require professionals and engaged community members to understand and address the cultural, political, and economic setting in which they have evolved and are currently set. In this course, we will move between theories of change within the social sciences and the application of these theories to current environmental issues across scales. Through case studies of current environmental issues, we will examine the interactions/intersections between people, place, and power that need to be addressed as we work to create just sustainable solutions."
EAS 510.002,Sci&Prac of Soc Chng,Fall 2025,3,"M'Lis Bartlett Handa, Radhika",
EAS 510.003,Sci&Prac of Soc Chng,Fall 2025,3,"M'Lis Bartlett Handa, Radhika",
EAS 510.004,Sci&Prac of Soc Chng,Fall 2025,3,"M'Lis Bartlett Handa, Radhika",
EAS 510.005,Sci&Prac of Soc Chng,Fall 2023,3,M'Lis Bartlett,
EAS 512.001,Strategies for Sustainable Development I: Enterprise Integration,Fall 2025,1.5,,"The course will meet twelve times during the fall term. These sessions are divided into two sections (EAS 512 and 513). The first deals with the key drivers of corporate environmental management: regulation, international standards and policy, investors, consumers, industry trade groups and natural resource scarcity. The second section considers how these drivers alter the basic ""rules of the business environment.” The final session will be a wrap-up that considers what we have covered and where the issue may be heading in the future."
EAS 513.001,Strategies for Sustainable Development II:  Market Transformation,Fall 2025,1.5,,"Strategies for Sustainable Development II:  Market TransformationManaging Social Issues --- The pressure for sustainable development has significant implications for firms, particularly large multinational corporations.  With free trade on the rise, long-term opportunities exist for firms able to identify, develop, and deploy technologies, products, and services that contribute to sustainable practices and resource use in the developing world. This course examines how long-term competitive positioning can be secured through strategies such as positioning an environmental partnership, technology cooperation, and collaborative planning."
EAS 514.001,SusDev: Theory&Frame,Winter 2025,1.5,Meha Jain,"This is the first in a series of foundational courses for the Sustainability and Development Specialization in the School for Environment and Sustainability at the University of Michigan. Neo-classical economics, political economy, and modernization theory have dominated development discourse for several decades. Environment and sustainability policy and planning for the Global South has evolved in concert with these foundational approaches to produce the system we have today. The aim of this course is to provide you with a basic understanding of the foundations underpinning sustainability and development policy and practice, the knowledge and skills to identify its strengths and weaknesses, and to inspire ideas for a more just and verdant future. We find ourselves at a unique moment in history, where issues of structural inequities, the global shock of the COVID-19 pandemic, and the lived experience of climate change uniquely position us to reevaluate the underlying philosophies, implementation strategies, and monitoring and evaluation of development efforts focused on environment and sustainability. How can we advance a sustainability and development agenda that will on balance lead to more favorable outcomes for both people and the environment?"
EAS 514.001,SusDev: Theory&Frame,Fall 2025,1.5,Pamela Jagger,"This is the first in a series of foundational courses for the Sustainability and Development Specialization in the School for Environment and Sustainability at the University of Michigan. Neo-classical economics, political economy, and modernization theory have dominated development discourse for several decades. Environment and sustainability policy and planning for the Global South has evolved in concert with these foundational approaches to produce the system we have today. The aim of this course is to provide you with a basic understanding of the foundations underpinning sustainability and development policy and practice, the knowledge and skills to identify its strengths and weaknesses, and to inspire ideas for a more just and verdant future. We find ourselves at a unique moment in history, where issues of structural inequities, the global shock of the COVID-19 pandemic, and the lived experience of climate change uniquely position us to reevaluate the underlying philosophies, implementation strategies, and monitoring and evaluation of development efforts focused on the environment and sustainability. How can we advance a sustainability and development agenda that will, on balance lead to more favorable outcomes for both people and the environment?"
EAS 515.001,SusDev: Grand Chalng,Fall 2025,1.5,Rajiv Ghimire,"This course will cover challenges in multiple dimensions of sustainability and development rather than focusing only on environmental, economic, or social aspects. This course will focus on three grand challenges to the possibility of sustainability and development. 1. Climate change, its impacts, and attempts to mitigate emissions and adapt to climate impacts. 2. Unprecedented, rapid biodiversity loss and the erosion of ecosystem services that threaten to take the biological systems of the planet into more homogenized directions. 3. Poverty and inequality - interrelated with each other as also with climate change and biodiversity loss that have locked hundreds of millions of households into untold misery. For each of these multiplex problem fields, the course will review the scale and nature of issues related to the challenge, examine some of the mechanisms that decision makers at different political and institutional levels have used to address them and assess their effectiveness. Coursework will involve class participation, short presentations, work on sustainability and development cases, and quizzes. Learning goals and outcomes -Develop an understanding of the key challenges to sustainability and development. -Learn core strategies through which decision makers have tried to address these challenges -Assess the effectiveness of implemented mechanisms to address climate change, biodiversity loss, and poverty/inequality -Analyze political and institutional dimensions of sustainability challenges -Apply lessons from analysis of solution mechanisms to a challenge you personally consider crucial to address."
EAS 516.001,Field Remote Sensing,Fall 2025,4,Shannon Brines,"The field component of remote sensing is essential to a full competency in remote sensing and its use in GIS and environmental analysis. In this course you will gain experience making connections between what we see on imagery and what is present on the ground. For landcover/land- use mapping, you will learn image supervised classification using NAIP, Landsat, and Sentinel-2. To support biophysical estimations from remote sensing you will learn how forest biomass/carbon is measured in the field and statistically estimated in the lab; you will also become familiar with drone and lidar data for 3D visualization. For field ground-truth collection in support of remote sensing, you will use High Accuracy GNSS devices and ArcGIS Online's Field Maps, and a variety of analog and digital field measurement tools, and learn sampling methods. For the culmination of this course, you will be able to use GIS, remote sensing and field data to investigate a research question related to forest or ecosystem health at SEAS' properties. Course objectives will be addressed through presentations, guided computer image processing labs, field data collection exercises, and student individual and team approaches. This is a field exercise and lab- based course. Your field- and lab-based knowledge and skills will be transferable to other types of landscapes and environmental applications of remote sensing broadly. Class occurs once each week for 4 hours, with the expectation of some homework."
EAS 517.001,Conservation Biology,Winter 2026,4,Sheila Schueller,"This course is designed to prepare future practitioners in evidence-based conservation of biological diversity. As a context for conservation actions, we critically review what is known about the causes of current biodiversity loss and the likely consequences of that loss for ecosystem functions and services. The course then focuses on the underlying concepts and actual approaches used to conserve biological diversity at multiple levels, from genes to ecosystems. This includes planning and management techniques such as seed banks, captive breeding, sustainable harvest models, population viability analysis, species recovery plans, protected area design, and reconciliation ecology, as well as approaches beyond a wildlife focus, such as conservation of invertebrates, soil, and ecosystem processes. Students will build skills relevant to a conservation-related career, including critical review of scientific evidence, quantitative and conceptual modeling, and real-world decision-making."
EAS 517.002,Conservation Biology,Winter 2026,4,"Sheila Schueller Cavanaugh, Zach",
EAS 517.003,Conservation Biology,Winter 2025,4,"Brian Weeks Clark, Isaiah",
EAS 518.001,Wildlife Ecol & Mgmt,Winter 2026,3,Johannes Foufopoulos,"The course focuses on the ecological processes and conservation management tools relevant to the survival of free-ranging mammal, bird, reptile, and amphibian populations. Students will utilize a diversity of approaches ranging from field research to computer exercises to investigate wildlife ecology, management, and conservation issues. Topics that will be discussed include wildlife habitat assessment, population abundance and density estimates, nutritional ecology, wildlife disease management, as well as endangered species restoration, both in an US and an international context."
EAS 518.002,Wildlife Ecol & Mgmt,Winter 2026,3,"Johannes Foufopoulos Ball, Kieran",
EAS 519.001,Climate Change vs Everything,Fall 2025,2,Allen Burton,"We’re inundated with predictions of ecosystem collapse, biodiversity loss, extreme weather, and societal upheavals due to climate change. The behavior of policymakers and common sense suggests ecological and societal adaptations will occur slowly (or not at all) in the face of slow climate changes.  How can we be most effective at making a difference and adapting to the new normal? Where should we focus our efforts on protecting and restoring aquatic ecosystems? This course tackles tough realities that human-dominated ecosystems are subjected to a plethora of physical, chemical, and biological stressors – which in part are related to 1) land uses, 2) societal and political norms, 3) economic constraints, and 4) the sensitivity and resilience of the regional ecosystems.  These components vary across geographies and vary as system drivers.  It is important to understand the contribution of each of the 4 drivers and how they are intertwined in the face of climate change. Without such an understanding, management efforts to protect and restore aquatic ecosystems likely will fail.  Examples of these system drivers and typical stressors include: Urban and agricultural runoff of excess nutrients, harmful algal blooms, suspended solids, metals, and pesticides; Habitat alteration including high/flashy flows, siltation, elevated temperature, vegetation loss, and sunlight; Elevated levels of nutrients, pathogens, pesticides, petroleum products (PAHs), metals, salts, tire particles, and plastics; Human dominated landscapes - declining habitat and plant and animal biodiversity along with increasing pathogens (fungal, bacterial, viral), parasites and invasive/introduced species.  Essentially all of these stressors are accentuated by global change, ecosystem warming, and global connectivity. These many stressors intertwine with climate change drivers (flooding, drought, wildfires, higher temperatures) and vary in their extent and magnitude depending on their geographic setting (ecoregion), socio-economic conditions, education, and cultural/historical traditions. In general, increased poverty shifts the importance of managing stressors to basic remedies dealing with sewage, erosion, habitat destruction, flashy and intense runoff and plastic litter.  These situations are often wrapped in environmental justice issues, particularly in urban environments and those near rivers and coastal areas subject to flooding.  The poorest societies will be most affected, becoming climate change migrants.  While it is critical to understand the scientific issues relating stressors to ecosystem health – it is equally important to understand how society and economics drive the prevalence of these stressors and their interactions with climate change. The interactions of physical, chemical and biological stressors must be understood in order to design effective and efficient adaptation management strategies.  These strategies must be region-specific, as “one size does not fit all”."
EAS 520.001,Fluvial Ecosystems,Fall 2025,3,"Allen Burton Duruturk, Berk","Fluvial processes are associated with rivers and streams, and the deposits and landforms created by them. These processes include erosion, corrosion, saltation, deposition, and suspension. Stream erosion may be the most important geomporphic agent. Fluvial processes sculpt the landscape, eroding landforms, transporting sediment and depositing it to create new landforms. Human civilization and ecosystems are both dependent on fluvial systems. This course will provide an overview of fluvial processes and landforms, interacting physical, chemical and biological components, and the consequences of human-societal activities. By understanding patterns and processes of highly diverse fluvial ecosystems, students should be able to better protect and enhance river and stream quality, ecosystem services, functioning and sustainability."
EAS 523.001,Ecol Risk Assessment,Fall 2025,2,Allen Burton,"This course introduces ecological risk assessment (ERA), describing the basics of how ERAs are most often conducted by governments and environmental consultants. In the U.S. the process often follows that of the U.S. Environmental Protection Agency (EPA), but Canada and Europe use somewhat different approaches. A wide range of assessments exist dealing with chemical-specific criteria development to the remediation of small to mega-sites exceeding $1billion in costs. Common shortfalls often made when conducting ERAs, such as failing to adequately link stressor exposures to biological effects will be discussed. Case study examples will demonstrate the state-of-the-practice and new approaches that decrease uncertainty associated with the ERA process. The important linkage of ERA issues to decision-making in the risk management process will be emphasized, with real-world, high visibility case studies discussed by national experts.In addition, this year we will utilize a new component to the class – premiering the Michigan Sustainability Class project, in partnership with the U-M School of Public Health. Our case example will focus on the Gelman industry contamination of the Ann Arbor aquifer. Students will ""enter"" the immersive case environment as an assignment (readings, watching videos, listening to interviews) for a couple of days. The in-class case discussion offers a chance to digest and debate elements of the case, after which there will be an engaged learning exercise. We will consider the environmental, human health, and political complexities within which specific quantitative, spatial or other skills are nested in many sustainability situations. Watch Faculty Introduction"
EAS 524.001,Agroecosystem Mgmt,Winter 2026,3,Jennifer Blesh,"Global food systems have dramatically altered biogeochemical cycles, contributing to climate change and eutrophication of waterways. Growing concern about agriculture's environmental impacts is increasing demand for citizens, scientists, and policymakers who have in-depth knowledge of more sustainable agroecosystem management approaches. This course will focus on how management systems impact carbon (C), nitrogen (N), and phosphorus (P) cycles from soil-plant to global scales. The course links theory and practice, and domestic and international examples, to discuss the complex challenges of sustainable food production, with an emphasis on applying ecological principles to soil management. Students will develop skills using this knowledge in applied settings."
EAS 525.001,Energy Justice,Fall 2025,3,"Tony G. Reames Miller, Madeline Walker","Energy justice is one of the central global issues of our time, with profound implications for health and welfare, freedom and security, equity and due process, and technology development and implementation. This course explores the intersection of energy and equity issues related to a variety of domestic and global energy dynamics, to include ways for rectifying persistent unequal distributions of energy resources to ensure reliable, clean, and affordable energy access. Course Objectives: The goal of this course is to understand current trends in framing, policy, and research on the topic of energy justice. This course will: ? Increase student understanding of the physical, institutional and cultural barriers that create energy-related disparities, ? Develop skills for analyzing energy-related data and policies to identify energy justice implications, ? Increase student awareness and understandings of disparities linked to place socio - economics and -demographics, ? Build student ability to develop innovative, theoretical, practical and long-lasting solutions that consider competing priorities on how to achieve energy justice address energy justice issues. At the end of this course, students should not only have a good understanding of this topic but also be prepared to analyze, critique, and contribute to the academic and political debates about energy justice."
EAS 525.001,Energy Justice,Winter 2025,3,Tony G. Reames,"Energy justice is one of the central global issues of our time, with profound implications for health and welfare, freedom and security, equity and due process, and technology development and implementation. This course explores the intersection of energy and equity issues related to a variety of domestic and global energy dynamics, to include ways for rectifying persistent unequal distributions of energy resources to ensure reliable, clean, and affordable energy access. Course Objectives: The goal of this course is to understand current trends in framing, policy, and research on the topic of energy justice. This course will: Increase student understanding of the physical, institutional and cultural barriers that create energy-related disparities Develop skills for analyzing energy-related data and policies to identify energy justice implications Increase student awareness and understandings of disparities linked to place socio - economics and -demographics Build student ability to develop innovative, theoretical, practical and long-lasting solutions that consider competing priorities on how to achieve energy justice address energy justice issues. At the end of this course, students should not only have a good understanding of this topic but also be prepared to analyze, critique, and contribute to the academic and political debates about energy justice."
EAS 526.001,Erb Inst Seminar,Fall 2025,1.5,,"This course is designed and delivered by the Erb Institute and tailored specifically for incoming Erb students - including both first-year students, as well as second-year Ross and SEAS students who joined Erb as midyear admits. This is a survey course, which presents a high-level introduction to a wide range of sustainability issues rather than a theoretical analysis or deep-dive into any one particular issue area. A combination of Erb speakers, university faculty and invited sustainability practitioners will lead the sessions. The discussions are designed to be interactive and engaging - which means that the full learning experience will depend on both speaker and student involvement. The Erb Institute's perspective on ""robust sustainability"" covers a broad range of economic, social, environmental, labor, and human-rights risks and opportunities for business. Our stakeholder-based view of the firm (contrasted with the traditional shareholder-based view) recognizes the role of both internal and external stakeholders in helping companies to better understand sustainability issues, minimize risks and leverage business opportunities. The course is intended to meet the following objectives: - Sustainability Exposure: Expose students to a broad understanding of the complex sustainability risks, challenges and opportunities. - Practitioner Perspective: Temper the business perspective with real-life experiences and learnings of seasoned sustainability professionals who have experienced what works and what doesn't in their own careers. - Erb Community: Build community within the new cohort of Erb students."
EAS 527.001,Energy Mkts&Politics,Fall 2025,3,"Thomas Lyon Uppal, Jaya",
EAS 528.001,Sustainable Food Sys,Fall 2025,3,"Jennifer Blesh Hoey, Lesli, Jones, Andrew","Today we have entered a new geological epoch – the Anthropocene – characterized by unprecedented human alteration of global processes. This fast-paced global change both affects and is affected by agriculture. Concurrent food, energy, water, and climate crises, and a global rise in obesity amidst widespread hunger and undernutrition, have re-focused public attention on the deficiencies and complexities of the global food system. The dominant industrial food system has increasingly well-documented social, ecological, and health-related costs. Yet, a diversity of ‘alternative’ food systems demonstrates that agriculture can be resource conserving, equitable, and health promoting.   Increasing food system sustainability requires interdisciplinarity along multiple dimensions: reconnecting agriculture with ecological systems, reshaping food production systems to be more nutrition-sensitive, and ensuring that policies and institutions that impact the food system safeguard social equity and the environment. Linking theory and practice is also essential, involving the diverse range of actors moving food from farm to fork. As a result, demand is growing for interdisciplinary scholars and other professionals who are equipped to analyze and address the complex challenges of sustainable food production and global food and nutrition security.   This course will offer a unique opportunity for students to gain interdisciplinary knowledge of food systems and to integrate theory and practice through experiential learning and dialogue-based inquiry both on campus and in the community. Interdisciplinary research and education require bridging worldviews and recognizing the values implicit in different disciplinary and theoretical perspectives. This course will incorporate multiple perspectives, from local to global levels, as well as an understanding of how those perspectives are underpinned by different epistemologies and value systems. That is, this course directly engages with values, exploring how they shape food systems. Benefitting from collaborative interdisciplinary instruction that draws on the expertise of three professors from three different departments, students will develop competencies and cognitive skills in the area of food system sustainability including critical and systems thinking, creativity, and analytical ability."
EAS 529.001,Indig Sus & Env Just,Fall 2025,3,,"Indigenous peoples are among the major architects of environmental movements focusing on sustainability and environmental justice. But whereas many environmentalists focus on restoring or conserving historic ecosystems, Indigenous peoples inhabit landscapes largely altered by different formations of colonialism and racial capitalism. For Indigenous peoples, environmental justice, climate change resilience, food sovereignty, and ecological restoration take on different meanings than typically have been priorities in other environmental movements and sciences. This course seeks to understand, from Indigenous perspectives, how many Indigenous movements, Indigenous sciences and knowledge systems, and the projects of Indigenous organizations and governments seek to achieve sustainability and environmental justice, including the challenges they face and the lessons they have learned. The course cover topics within domains of Indigenous sciences and knowledge systems, Indigenous environmental activism and anti-colonial philosophies, Indigenous research approaches, Indigenous ecologies, Indigenous resilience, and Indigenous legal orders and strategies in law and policy."
EAS 530.001,Metrics of Materiality (and Relationality): Michigan,Fall 2025,3,Michelle Martinez,"This class is a learning laboratory in which classmates will collectively build a framework on political ecology and the practical analysis of change through review of case studies of resistance on Anishinaabe Aki, specifically Michigan. We will reflect on the learnings and lessons of contemporary climate justice campaigns which deploy strategies to resist global resource extraction before having the privilege of ""proof"" and instead learn by taking risks and doing. The class will then draw from complex analyses of relationality, enclosure and debt, gender justice, abolition, and inalienability to land as a litmus for change. The course moves from theories of power and deployment of community organizing strategies and digs deeper into an analysis and evaluation of transformative work."
EAS 531.001,Principles of GIS,Winter 2026,4,Neil Carter,"One of the most relevant and highest growth job markets in environmental sciences is that involving Geographic Information Systems (GIS). Graduates of this comprehensive Principle of GIS course are well prepared for work and jobs with a strong GIS component.  The goals of this class are therefore to provide a firm understanding of the conceptual approaches and uses of GIS (lecture), plus technical methods (lab) in GIS. The lab is taught using the latest versions of ArcGIS Desktop, ArcGIS Pro, and QGIS software. Labs plus lecture case studies address both the natural sciences and the social sciences components of environmental applications and analysis. Watch Faculty Introduction"
EAS 531.001,Principles of GIS,Fall 2025,4,Kim C. Diver,"One of the most relevant and highest growth job markets in environmental sciences is that involving Geographic Information Systems (GIS). Graduates of this comprehensive Principle of GIS course are well prepared for work and jobs with a strong GIS component.  The goals of this class are therefore to provide a firm understanding of the conceptual approaches and uses of GIS (lecture), plus technical methods (lab) in GIS. The lab is taught using the latest versions of ArcGIS Desktop, ArcGIS Pro, and QGIS software. Labs plus lecture case studies address both the natural sciences and the social sciences components of environmental applications and analysis. Watch Faculty Introduction"
EAS 531.002,Principles of GIS,Winter 2026,4,"Neil Carter Kelly, Mary",
EAS 531.002,Principles of GIS,Fall 2025,4,"Kim C. Diver Arendt, Amanda",
EAS 531.003,Principles of GIS,Fall 2025,4,"Kim C. Diver Kelly, Mary",
EAS 531.003,Principles of GIS,Winter 2026,4,"Neil Carter Stec, Victoria",
EAS 531.004,Principles of GIS,Fall 2025,4,"Kim C. Diver Arendt, Amanda",
EAS 531.004,Principles of GIS,Winter 2026,4,"Neil Carter Stec, Victoria",
EAS 531.005,Principles of GIS,Winter 2026,4,"Neil Carter Kelly, Mary",
EAS 531.005,Principles of GIS,Fall 2025,4,"Kim C. Diver Kelly, Mary",
EAS 532.001,Augmented Tectonics,Winter 2026,3,,"Augmented Tectonics introduces students to methods of visualization and virtual immersion of the built environment using extended realities (XR) through the Unity game engine and Spatial.io. Leveraging modeling software and XR tools, this course will allow student to engage through virtual platforms while designing space."
EAS 533.001,Negotiation Skills,Fall 2025,3,"Steven L. Yaffee Kazmerzak, Ruth","This course develops skills in bargaining and negotiation as they can be applied to the resolution of environmental and other disputes. It will help a student prepare for and carry out a negotiation, become a more effective communicator and listener, and understand the psychological dimensions inherent in negotiation processes. The course also will examine mediation and facilitation, which are mechanisms for assisting others to negotiate. The course will employ a series of role play simulations that allow students to engage in controlled bargaining situations, followed by debriefings that critique strategy and styles. Drawing on literature in the areas of decision analysis, social psychology, and public policy, a framework for analysis will be interwoven into the debriefings of the simulations."
EAS 536.001,Legal Knowledge for Values-Driven Leaders,Winter 2026,2.25,,"To successfully navigate an increasingly chaotic and complex business world business leaders need strong legal and ethical foundations.  This course provides the legal and business ethics frameworks that are essential for responsible decision making.  Students will identify and explore their personal values and practice how to put them into action through implementing key legal and ethical strategies. Using a framework describing managers' economic, legal, and ethical responsibilities, this course draws upon theory as well as contemporary business ethics and legal dilemmas. The course also presents the various perspectives on the appropriate role of business in society alongside the actual legal obligations that companies have - and do not have - to a range of crucial stakeholders. Through a discussion of challenges facing executives, employees, and organizations, the course examines topics such as corporate social responsibility, Environmental, Social, and Governance (ESG), the role of business in shaping public policy, corruption, cross-national business ethics, confronting crisis, and the future of work and a just transition with artificial intelligence and automation.  The course readings, lectures, and guest speakers are designed to foster vibrant and thought-provoking discussions that provide students with the tools and analytical skills to first spot and avoid ethical and legal risk, and then to use their ethical reasoning and analysis skills to be responsible and effective leaders throughout their careers."
EAS 537.001,Urb Sustainability,Fall 2024,3,Brandon Marc Finn,"As engines of capital accumulation, cities have often been viewed as environmental sacrifice zones. Some critics have argued that ‘sustainable cities’ is an oxymoron. Nonetheless, the debate over sustainable development generally, and sustainable urbanism specifically, has succeeded in reshaping and broadening discourse around cities and  attendant policies and outcomes–both in industrialized and industrializing countries. Implying that sustainable use of natural resources involves social justice and economic development as well as environmental concerns, the notion of sustainability has led away from narrower conceptions of urban environmentalism, toward more consideration for the future, greater integration of social and economic goals with environmental and ecological objectives, and hence a fundamental rethinking of how cities should be theorized, planned and managed. This course introduces students to the emerging field of urban sustainability from multiple disciplinary perspectives, primarily industrial ecology, urban political ecology, and urban planning. The course provides students with the theoretical and methodological tools in which to explore the potential for a sustainable urbanism. Approaches to foster more sustainable and resilient forms of urbanization and urban life, from localizations to dematerialization, are introduced and evaluated. Course deliverables include a mid-term exam, a group case-project, and three writing responses. A field trip to Detroit and meetings with stakeholders also form course components."
EAS 538.001,Introductory Statistics for Environment and Sustainability,Fall 2025,4,Inés Ibáñez,"This course addresses basic statistics with examples from a wide range of environment and sustainability subjects. The course will focus on classic statistical tests (hypothesis testing, t-tests, analysis of variance, correlation, and linear regression), descriptive statistics, sampling techniques, experimental design, and plotting data.  The course is applied, meaning we will focus on when and why different statistical techniques should be used, rather than deriving the mathematical underpinnings of these techniques. A weekly lab will focus on implementing statistical tests using the open-source statistical package R. There are no prerequisites to take the class."
