,key,prefix,number,suffix,title,description,minimum credits,maximum credits,other
2597,CYBER 297,CYBER,297,,Special Topics,"Formal courses offered infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",1,9,
2600,CYBER 362,CYBER,362,,Cybersecurity Analytics Studio,"Cyberattacks involve advanced and sophisticated techniques to infiltrate corporate computers, networks and enterprise systems and critical infrastructures. Types of attacks include advanced malware, zero day attacks and advanced persistent threats. Advance warning about attackers and intelligence about the threat landscape is considered by many security leaders to be essential features in cyber-defense. The massive increase in the rate of novel cyberattacks has made data-mining-based analytics techniques a critical component in detecting security threats. Big data analytics in security involves the ability to gather massive amounts of digital information to analyze, visualize and draw insights that can make it possible to predict and stop cyberattacks. This studio course teaches fundamental data-driven cybersecurity analytics skills using programming skills acquired in earlier courses. The course will be divided into three modules. The first module prepares students for security analytics, by refreshing or making them familiar with two popular data analytics programming languages (e.g., R and Python). The second module focuses on understanding the key cybersecurity analytics process including data exploration, data visualization and data preparation and examining popular data mining algorithms such as linear and logistic regression, decision trees, support vector machine, and neural networks and similar techniques for security analytics. In the third module, students use analytics process and methods for selected cybersecurity problems, such as security breaches, ZeroAccess Infection, Log Analytics, Access Analytics and Web Hacking Analytics. Through this studio course, the students will gain concrete understanding of security analytics processes, methodologies and how to apply these concepts and tools to real-world cybersecurity. A major component of the course will be several hands-on exercises and a final team-based project. Hands-on exercises provide students with knowledge, skills and hands-on experience of learning security analytics process and methodologies to address security problems. The team-based project allows students to apply what they have learned to address real world security threat. This course will incorporate collaborative and action-learning experiences wherever appropriate. Emphasis will be placed on developing and practicing writing and speaking skills through application of the concepts, theories and technologies that define the course.",3,3,Enforced Prerequisite at Enrollment: STAT 200 and IST 261 and CYBER 262 and enforced co-requisite SRA 365.
2603,CYBER 440,CYBER,440,,Cybersecurity Capstone,"Cybersecurity Capstone is an advanced, culminating course for students who are majoring in Cybersecurity. This course provides the student with a practical exercise, designed by the instructor. The initial weeks of the semester provide the student with an overview of several analytic frameworks that are used in cybersecurity shops and organizations. Then, the student reviews specific technical analysis methods in malware, static and dynamic analysis, file system exploration, security log file analysis and network analysis. The findings from these analyses are then integrated into the analytic framework, gaps are identified, further analysis is conducted to fill the gaps. In the final weeks of the semester, students construct a high level briefing that supplies appropriate levels of technical detail to top level executives.",3,3,Enforced Prerequisite at Enrollment: CYBER 342W and (ENGL 202A or ENGL 202B or ENGL 202C or ENGL 202D) and 7th semester standing.
2606,CYBER 497,CYBER,497,,Special Topics,"Formal courses offered infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",1,9,
2609,DANCE 170,DANCE,170,,Dance Conditioning,"This course is designed to improve technique through strengthening, toning, improving coordination, increasing balance, and helping alignment. The course also addresses common areas of injury. Dance Conditioning is designed to enhance the efficiency of movement and body usage by applying a mind-body for increasing strength and flexibility in the body. Dance is both athletics and an art form, and equal training is essential for both. This course applies the tools and principles of athletic dance training to health and fitness for the non-dancer to achieve efficient and effective usage of the body while increasing well-being. In addition to increased strength, muscle tone, and flexibility the Kinesthetic and proprioceptive senses are developed resulting in greater balance, coordination, and dynamic alignment. The course completes with the creation of a Personal Practice.",5,5,General Education: Health and Wellness (GHW)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies
2612,DANCE 221,DANCE,221,,Introduction to African Dance and Culture,"An introduction to African dance based in a holistic approach integrating music, movement, drama, costume, and vocalization.",1,1,
2615,DANCE 230,DANCE,230,,Ballet,"An exploration of Ballet technique.  DANCE 230 Ballet (1.5 per semester/maximum of 6) (GA)(BA) This course meets the Bachelor of Arts degree requirements. DANCE 230 is an exploration of Ballet technique. The course is designed for any student with an interest in Ballet and to support the Dance Studies Minor. This class explores the many styles and genres of Ballet developed through history. Emphasis is placed on the development of a strong technique, vocabulary, and performance. Ballet, as a technique class, has at its core, increasing the strength, alignment and flexibility of each dancer. Each semester, the dancer will be introduced to different aspects of ballet which will require an increasing awareness of ballet and its' impact on all of dance. Technique classes will be supported through viewing historical and contemporary dance footage. In every class, daily movement experiences will be introduced to build coordination, flexibility and strength, as well as the understanding of the ballet technique. These experiences will take place at the barre, in the center floor, adagios and allegros, and culminate in a combination of all these experiences in a combination to develop their potential as a performer.",5,5,Bachelor of Arts: ArtsGeneral Education: Arts (GA)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative Thinking
2618,DANCE 240,DANCE,240,,Jazz Dance,"An exploration of jazz dance technique throughout history. DANCE 240 Jazz Dance (1.5 per semester/maximum of 6) (GA) (BA) This course meets the Bachelor of Arts degree requirements. DANCE 240 is an exploration of Jazz Dance. The course is designed for any student with an interest in Jazz Dance and to support the Dance Studies Minor. This class explores the many styles and genres of jazz dance developed through American history. Emphasis is placed on the development of a personal jazz dance style, exploration, and self-expression. Jazz dance, as a technique class, has at its core, increasing the strength, alignment and flexibility of each dancer. Each semester the dancer will be introduced to different styles of jazz which will require a changing perspective of the body and its' movement. Movement classes will be supported through viewing a variety of the dance styles being studied. In each style, daily movement experiences will be introduced to build coordination, flexibility and strength, as well as the understanding of the particular jazz dance idiom. These experiences will take place in the center floor, across the floor accumulations, and culminate in a combination of all these experiences in a dance to develop their potential as a performer. Connections to the social aspect of jazz dance will be consistently addressed, as all dance forms are vernacular in origin. Jazz dance, being a true American dance form, has its roots in the late 1800's and early 1900's with a pre-history in Africa and West Indies. The desire for self-expression through physical movement drove the dance form to a formal art expression on the concert stage. This connection to the vernacular has been maintained in the jazz dance idiom. The exploration in Jazz Dance emphasizes the individual expression through movement in response to music particular to the style being presented in each semester.",5,5,Bachelor of Arts: ArtsGeneral Education: Arts (GA)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative Thinking
2621,DANCE 250,DANCE,250,,Tap Dance,"An exploration of tap dance technique throughout history.  DANCE 250 Tap Dance (1.5 per semester/maximum of 6) (GA)(BA) This course meets the Bachelor of Arts degree requirements. DANCE 250 is an exploration of Tap Dance. The course is designed for any student with an interest in Tap Dance and to support the Dance Studies Minor. This class explores the many styles and genres of Tap Dance developed through American history. Emphasis is placed upon the understanding of the origins of tap, exploration, and self-expression. Tap Dance is grounded in rhythm, exploration and importance of improvisation and origins with a focus on the entertainment component.DANCE 250 will introduce the dancer to different styles of tap, which will require a changing perspective of rhythm and expression. In each style, daily movement experiences will be introduced to build coordination, stamina and flexibility with rhythms, as well as the understanding of the particular historical aspect of Tap Dance. These experiences will take place in the center floor, across the floor accumulations, and culminate in a combination of all these experiences in a dance to develop their potential as a performer.The origins and influences of tap are rich and deep, imbedded in the history of the country and the people. The richness of this history allows the dancer to take on a personal and individual style important to the further development of tap and dance in general. Tap Dance will emphasize this importance and assist the student in their exploration of this dance form.",5,5,Bachelor of Arts: ArtsGeneral Education: Arts (GA)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative Thinking
2624,DANCE 260,DANCE,260,,Introduction to Modern Dance,"Introduction to Modern Dance. DANCE 260 Intro to Modern Dance (1.5 per semester/maximum of 6) (GA) (BA) This course meets the Bachelor of Arts degree requirements. DANCE 260 is an introduction to modern dance and the many elements of this vast form of dance. The course is designed for any student with an interest in Modern Dance and to support the Dance Studies Minor. This class explores the many influences and components of modern dance developed through history. Emphasis is placed on the development of strong technique, performance and exploration. Each semester the dance will be introduced to different aspects of modern dance which will require in increasing awareness of modern dance and its' impact on all of dance. Technique classes will be supported through viewing historical and contemporary dance footage. In every class, daily movement experiences will be introduced to build coordination, self-awareness, strength and flexibility, as well as the understanding of modern dance.",5,5,Bachelor of Arts: ArtsGeneral Education: Arts (GA)GenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative Thinking
2627,DANCE 270,DANCE,270,,Introduction to Bartenieff Fundamentals,"Physical and theoretical approach to movement:  facilitates efficiency, and expression through dynamic alignment, mobility, kinesthetic awareness; reduce physical injuries.",3,3,General Education: Health and Wellness (GHW)GenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Integrative Thinking
2630,DANCE 296,DANCE,296,,Independent Studies,"Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",1,18,
2633,DANCE 320,DANCE,320,,Intermediate Mojah Fusion Dance,"Intermediate Mojah continues instruction for intermediate level dance students and builds on the technical training of Beginning Mojah 7.  DANCE 320 Intermediate Mojah Fusion Dance (1.5 per semester maximum of 9) Intermediate Mojah Fusion Dance builds upon the foundations of Beginning Mojah dance. Moja is a Swahili term meaning one. Mojah fuses various forms into one to create a unique style of modern African dance based in Horton, Dunham, West African and jazz movements.",5,5,Prerequisite:  DANCE220 or permission of the program
2636,DANCE 341,DANCE,341,,Intermediate Jazz I,"A continuation of the course work established in DANCE 242, Beginning Jazz II.  DANCE 341 Intermediate Jazz I (1) Dance 341 allows the student who has successfully completed Beginning Jazz II to continue to broaden their knowledge of Intermediate Jazz Dance. The purpose of this course is to improve the beginner's knowledge of jazz dance. Technique will be stressed, but performance and interpretation will be emphasized with the following in mind: to develop character, mood and ability to improvise and choreograph Jazz Dance. A variety of choreographed dances ranging from pop, jazz, to musical theatre styles will be taught. The student's grade will be based on attendance, attitude, and progress of learning and performing dance combinations. A positive attitude and maintaining proper discipline and willingness to work and learn are essential. The student is required to perform individual rehearsal hours (as homework). They are responsible for learning and executing all material taught. Jazz Dance 341 satisfies the requirement for the BFA Music theatre option and fulfills one of the requirements for the Dance Minor. The BFA musical theatre student will be juried by the School of Theatre Performance Faculty as a part of their final grade. The jury will consist of a showing of the pieces taught in class. This evaluation will help to determine whether the candidate may enroll into the next level of the performance sequence. The required dress for men: Jazz shoes, T-shirt or muscle shirt, dance belt, Jazz pants or tights. For women: Jazz shoes, leotard and tights (possible character shoes).",5,5,Prerequisite: DANCE 242; DANCE 240
2639,DANCE 362,DANCE,362,,Intermediate Modern Dance II,"This course is a continuation of Modern Dance to augment technical proficiency.  DANCE 362 Intermediate Modern Dance II (1.5) continues to build on the technical foundation from Intermediate Modern Dance I (DANCE 361) in relation to a release-based modern dance technique. This course also highlights elements of the genre Dance Theatre. This intermediate level class centers on continuing developing a strong technical foundation in modern dance and how to apply that in performance. Along with technique, students should develop greater flexibility, strength, and alignment. The concepts of weight, time, energy, and space are central to the class. The body as a tool of expression and communication and using dance as a language is stressed.   The emphasis of this course is movement as a lexicon used with specificity for expression of context, content, metaphor, image, and representation. Through this course, students gain proficiency in communication with the body and develop skills for creating and performing a specific vocabulary for expression. This course builds upon exploring the previous explorations and moves into a more formal structure of creating dance theatre. This class serves as a prerequisite for DANCE 461.",5,5,Prerequisite:  DANCE361
2642,DANCE 370,DANCE,370,,Anatomy and Physiology for Performers,"The purpose of this course is to provide performers with anatomical theory and concepts to apply to movement. The course will progress through the body in systems as they relate to the biomechanics of movement and the body in performance. All body systems will be covered, but we will explore the musculoskeletal system in dept including specific bones and muscles most commonly used in the movement of the performing arts. Students will not only become proficient in the anatomy and physiology of the moving body, but also learn to apply this material to specific movements to facilitate the efficiency of movement in their area of interest. This course will be grounded in specific principles of western anatomy and physiology, but will also focus on application to analyze movements for the biomechanical basis that allows each movement, and the way the body system function and interact when performing. This knowledge is to aid in more efficient moving, peforming, better body awareness/understanding, and injury prevention. The class covers different topics each week and will build upon practices learned in each previous session. Within each class period, lecture will be immediately followed by experiential hands on exercises and experiential learning application.",3,3,Prerequisites: DANCE 100; THEA 100; THEA 105; THEA 112
2645,DANCE 382,DANCE,382,,Music Theatre Dance--Style I,"A practical study of dance styles from the 1890'S to the 1990'S.  DANCE 382 Music Theatre Dance --Style I (1.5) DANCE 371 allows the student who has successfully completed two semesters of ballet (DANCE 231 and 232), two semesters of jazz (DANCE 241 and 242), and two semesters of Music Theatre Studio (THEA 223 and 224) to expand their capabilities of combining their skills of dancing and acting through the use of different stylistic approaches. In this semester, the BFA Music Theatre candidate will study and perform choreography characteristic of Vaudeville, Charleston, Ragtime, Ballet, Folk/Ethnic and elements of Modern and Jazz. In particular, Agnes deMille's use of ballet and Jerome Robbins' use of Ballet/Jazz/Modern will be studied. The goals of the course include enabling the student to fell confident in identifying, performing, and competing in the professional audition venue using these styles. Also, the student should deepen their understanding of how the use of varied dance styles contributes to the development of character and/or the furthering of plot in Music Theatre. Successfully completing DANCE 371 is the prerequisite for DANCE 372.",5,5,Prerequisite:  THEA 224
2648,DANCE 399,DANCE,399,,Dance Foreign Study,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL)
2651,DANCE 412,DANCE,412,,Practical Applications of Movement in the Classroom,"This course will guide the students in movement-oriented activities and explore how these activities relate to learning academic concepts.  DANCE 412 Practical Applications of Movement in the Classroom (3) Moving and learning is the focus of this course. Classrooms vary in size, age, understanding, world experience and venue. Being able to recognize all these situations as learning opportunities is a talent built on experience. This class will challenge the students to see learning not just as an event that must happen in desk chairs with only the use of traditional classroom technology to support the 'lesson' but also as an opportunity for expansion into the whole child, including the moving child. Experience in designing and applying movement ideas into curriculum ideas and concepts will be developed throughout the semester. The student will begin to see ideas and learning themes as opportunities to engage the child through their physicality while expressing ideas, challenging the expected way of learning and yes, even having fun. Teaching is a creative act, learning is a creative act, and designing moving opportunities to reinforce the act of learning creates a sense of knowing within the child that becomes embodied. Reading, discussion, classroom application of material, and critical assessment of self and others will create an environment, at times, modeling some of the potential venues in which the student may expect to find themselves. Using this information will be critical to their growth into visualizing movement as a viable option for teaching and learning.",3,3,Prerequisite: 3 credits in HDFS or PSYCH or EDPSY or DANCE
2654,DANCE 432,DANCE,432,,Advanced Ballet II,"A continuation of Advanced Ballet I to augment technical proficiency.  DANCE 432 Advanced Ballet II (1)DANCE 432 allows the student who has successfully completed DANCE 431, or who has interviewed with the Instructor concerning their previous dance training, to challenge themselves further in the study of ballet. The barre work continues to emphasize proper alignment, supported by exercises using the Zena Rommett floor barre technique and the Pilates technique. The center work expands on some of the vocabulary taught in DANCE 431, requiring more confidence, strength, and stamina in different ways of turning and jumping, as well as adagio work. The student will learn more complex steps requiring greater strength and coordination, and the class will move at a faster pace, thus enabling the student to learn choreography more quickly. The student will also develop their ability to communicate character and mood through their dancing. More advanced ballet terminology will be taught, and the student will learn the French terms, their English meanings, be able to identify the steps and perform them. DANCE 432 can satisfy one of the two semesters of advanced dance study required by the BFA Music Theatre degree option and can satisfy requirements for the Dance Minor. The student's grade is determined by their attendance, attitude, and progress. Attendance is mandatory. More than three absences or lateness will affect the grade. The attitude should reflect a serious focus on improving their abilities with a positive approach to applying corrections on their dancing. Their progress will be assessed through observation of their classroom work and especially the video-taped performances of their mid-term and final exam choreography. There will be a final showing at the end of the semester with an invited audience. The exams will also include an oral section, covering the terms used in class. Required dress for class is - - for men, dance belt, black tights, white t-shirt, and black ballet shoes, and for women, pink or tan tights, leotard, and pink ballet shoes. All hair must be pulled back and secured away from the face. No sweat clothes may be worn, but leg warmers, belts, and suspenders are optional.",5,5,Prerequisite:  DANCE431
2657,DANCE 451,DANCE,451,,Advanced Tap I,"An advanced course in the techniques of tap dance.  DANCE 451 Advanced Tap I (1)DANCE 451 allows the student who has successfully completed DANCE 251 and 252, or has permission of the instructor, to continue to broaden their knowledge to tap dance. The work will include expanding the student's knowledge of tap vocabulary, rhythm, tempo and counting. The work introduces audition techniques from the dancer's perspective and expands the awareness of proper rehearsal discipline. Professional conduct and behavior is now cultivated into a useful marketing tool. Material is taught faster and with greater detail to reinforce audition techniques and equate professional challenges. Audition classes will be held at the instructor's discretion. The student's grade will be based on attendance, attitude, and progress of learning and performing dance combinations. More than three absences or lateness will affect the grade. Maintaining a positive attitude, proper discipline, and willingness to work and learn are essential. The student is required to perform individual rehearsal hours (as homework). Students are responsible for learning and executing all material taught in class. Students enrolling in this course should have successfully completed DANCE 251, 252 or have permission of the instructor. Tap DANCE 451 satisfies requirements for the BFA Music Theater option and the Dance Minor. The BFA Music Theater student will be juried by the School of Theatre Performance Faculty as a part of their final grade. The jury will consist of a showing of the pieces taught in class. This evaluation will help to determine whether the candidate may be allowed to enroll into the next level of the performance sequence. The required dress for men: tap shoes, or hard soled shoes with taps attached. T-shirt or muscle shirt, dance belt, Jazz pants or tights. For women: tap shoes, leotard and tights (possible character tap shoes). The clothing must allow movement, and still be able to distinguish an outline of the dancer's body.",5,5,Prerequisite: DANCE 250; DANCE 252
2660,DANCE 462,DANCE,462,,Advanced Modern Dance II,"A continuation of Advanced Modern Dance I to augment technical proficiency.  DANCE 462 Advanced Modern Dance II (1.5)DANCE 462 is a continuation of Advanced Modern Dance I. This class continues the technique foundation from DANCE 261, 262, and 461 of exploring the use of weight, time, space, and energy in relation to a release based modern dance technique. DANCE 462 also works with focus, style, and performance techniques. Students should gain greater technical proficiency, flexibility, strength, and alignment. Understanding and demonstrating the different uses of weight and the concept of grounding is essential. Students should begin to develop as an individual mover (personal artistic voice) and gain greater confidence in using the body as a tool of expression and communication. Students should demonstrate an opening and willing attitude in every class situation. Students are responsible for learning and executing all material taught in class. DANCE 461 and 462 serve as core technique classes for all dance minors.",5,5,Prerequisite: DANCE 361; DANCE 362; DANCE 365; DANCE 366; DANCE 461
2663,DANCE 480,DANCE,480,,Choreographic Projects,"Choreographic practicum experiences for concert performances.  DANCE 480 Choreographic Projects (2) This course is a forum for choreographic practicum experiences for concert performances. This course will provide an opportunity to students to develop their artistic and creative abilities in the field of dance. The student will create a group choreographic work to be presented in concert dance. This course will cover skills for advanced group dances, the creative process, selection of music of dance, costuming for dance, lighting for dance, rehearsal techniques, performance techniques, and organizational/leadership skills.Each student will submit a written proposal of the dance s/he intends to create, specifying the number of dancers, choreographic intent, and movement phrases as well as ideas for music, costumes, and lighting. The student will complete one choreographic dance to be performed in concert, which is presented each semester. The student must attend technical week prior to the concert, use past choreographic experiences gained from compositional study and be responsible for organizing weekly rehearsals. The student is required to hand in a self-evaluation paper reflecting on the original proposal and completed dance, and to maintain a journal throughout the semester documenting the choreographic process.This course will be offered fall semester with an enrollment of 10 students.",2,2,Prerequisite:  DANCE381
2666,DANCE 497,DANCE,497,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject that may be topical or of special interest.",1,9,
2669,DS 99,DS,99,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL)
2672,DS 199,DS,199,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,
2675,DS 294,DS,294,,Research Project,Supervised student activities on research projects identified on an individual or small-group basis.,1,12,
2678,DS 299,DS,299,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL)
2681,DS 320,DS,320,,Data Integration,"Recommended Preparations: DS 310  Modern data-intensive applications (healthcare, security, public policy, science, commerce, crisis management, education, among others) increasingly call for integration of multiple types of data from disparate sources. This course introduces students to the principles and the practice of data integration, with particular emphasis on relational, knowledge-based, graph-based, and probabilistic methods. Carefully crafted assignments will help enhance the students' mastery of both the theoretical underpinnings as well as practical aspects of data integration. The students will work in teams to solve representative data integration problems drawn from real-world applications. Upon completion of the course, students should be able design, implement, and evaluate data integration solutions to support data intensive applications.",3,3,Enforced Prerequisite at Enrollment: DS 220 and STAT 318. Recommended Preparation: DS 310
2684,DS 396,DS,396,,Independent Studies,"Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",1,18,
2687,DS 402,DS,402,,Emerging Trends in the Data Sciences,"This course exposes and trains students in the analysis of emerging trends in data sciences.  DS 402 Emerging Trends in the Data Sciences (3) Data sciences is a rapidly evolving field affected by innovations in a variety of technical domains, including data generation, capture, storage, and processing. Staying abreast of new developments can be a daunting task but is critical for success. This course provides an in-depth analysis of a particular innovation, but starts with developing generally applicable skills for analyzing new technologies. In particular, the analytic framework considers the innovation's technical aspects and potential for widespread adoption, but also its social, organizational and policy implications. As a course focused on a new data sciences technology or analytic innovation, it is repeatable. As such, the course enables students to be exposed to the cutting edge of data sciences, supporting a forward looking view of the field for students across the university.",3,3,Enforced Prerequisite at Enrollment: DS 220
2690,DS 440,DS,440,,Data Sciences Capstone Course,"This course provides a data sciences problem-solving experience, addressing realistic data science dilemmas for which solutions require teamwork and collaboration.",3,3,Enforced Prerequisite at Enrollment: DS 220. Recommended preparation: DS 310 or CMPSC 448.
2693,DS 496,DS,496,,Independent Studies,"Creative projects, including research and design, that are supervised on an individual basis and that fall outside the scope of formal courses.",1,18,
2696,DART 102N,DART,102,N,Introduction to 2d Digital Art and Technology,"DART 102N Introduction to 2d Digital Art and Technology (3) A General Education Integrative Studies, digital arts course introducing 2D graphics software through explorations of the 2d digital art medium. This is a General Education Integrative Studies, digital arts course introducing 2D graphics software through the creation of original digital artwork and the exploration of the 2d digital art medium. Course content explores technology, digital art, and visual culture, and concepts of identity, digital culture, and propaganda. Students create original artwork using graphic software such as Adobe Photoshop. They acquire skills and methods of research and development, creative production, critical review, reflection, and strategies for revision. Learning focuses on problem solving, exploration of creative options, visual communication, critique of images and ideas, and reflective writing. Students apply this process of visual research as a personal means of exploring topical issues and ideas, responding in informed ways to the images created by others, and reacting critically and creatively to the visual world around them. The course looks at topics such as the impact of technology on personal identity and community practices as they are represented in the mix of visual culture. Methods of visual expression and graphic communication such as advertising, messaging and propaganda are examined and critically analyzed as cultural practices that serve many purposes, from education, entertainment, marketing, and politics. The purpose of the course is to introduce students to the creative use of digital technologies in responding critically and imaginatively to this changing visual world of image, text and story in which they live. By developing original digital artwork, students learn to formulate and communicate their ideas related to the course topics from a personal perspective and build an understanding of how they make an impact on a world beyond the classroom.",3,3,Bachelor of Arts: ArtsGeneral Education: Arts (GA)General Education: Humanities (GH)General Education -  Integrative: InterdomainGenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Crit and Analytical ThinkGenEd Learning Objective: Key Literacies
2699,DART 202,DART,202,,2D Digital Art & Computer Graphics,"DART 202 2D Digital Arts and Computer Graphics (3) Introduces 2D digital imaging techniques and concepts for the production of original art and design using graphics software. This course will introduce 2D digital art and design concepts and computer graphics imaging techniques for artists and designers through creative exploration of the medium using industry standard software like Adobe Photoshop and Illustrator. Students look at key concepts relating to art and digital culture, identity and visual culture through the development of conceptual criticality, creativity and problem solving to better understand how to express ideas visually in interesting ways. The course also looks at the impact of technology on visual culture and the relevance to artistic creation. In developing their artwork, students will learn to formulate their own ideas in relation to the topics and build an understanding of how they relate to them beyond the classroom. The course provides students the requisite 2D computer graphics and conceptual skills to take more advanced new media, digital arts and media design courses in the School of Visual Arts.",3,3,
2702,DART 205,DART,205,,Creative Coding: Scripting for Art and Design,"DART 205 Creative Coding: Scripting for Art and Design (3) Introduces object-oriented programming fundamentals for the production of expressive interactive experiences such as animations, interfaces and games. This course introduces object-oriented programming fundamentals for the production of expressive interactive experiences such as animations, interfaces and games. This course focuses on creative work that is exploratory and experimental and engage students in studio research methods to advance their skills and critical competence in new media. Students apply computation concepts based on readings and discussions of key texts about interactive design, media art, and game design to the creation of original interactive projects. The course offers a series of scripting exercises in which students learn to develop applications using both a top-down and bottom-up design process. Students also develop a series of more ambitious computational projects using an iterative design process. They produce detailed design treatments and working prototypes before turning in final applications developed using an object-oriented programming language. The course gives students the requisite computational and conceptual skills to take more advanced new media, digital arts and media design courses in the School of Visual Arts.",3,3,Bachelor of Arts: Arts
2705,DART 296,DART,296,,Independent Studies,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",1,18,
2708,DART 301,DART,301,,Creative Collaboration Studio,"DART 301 Creative Collaboration Studio (4) Provides students with an advanced studio exploration of interdisciplinary collaborative projects in the digital arts and design disciplines. This course will consider and develop advanced studio work that investigates, from a variety of disciplinary understandings, increasingly complex issues and problems in the digital arts and design disciplines. The course will emphasize collaborative and team-based projects, exploring the creative potential within the group dynamic as well as in relation to a client. A primary purpose of the course is to bring together students engaged in a wide range of studio explorations and create a synergistic group dynamic that will inform and advance the work of all participants; hence, personal initiative and strong self-learning skills are a given expectation.",4,4,"Prerequisites: DART 300, ART 211Y"
2711,DART 304,DART,304,,Motion Graphics Studio,"DART 304 Motion Graphics Studio (4) A digital arts studio course focuses on developing and critically evaluating motion graphics and time-based media art and design. This course will build upon previous digital arts studio courses and provide students with an in- depth studio experience to further develop motion graphics and time-based media techniques and production strategies through the creative exploration of the medium. This course will focus on the production of creative work that is exploratory and experimental and engage digital art and design students on the principles, processes, methods and relevant technologies to advance their skills and critical competence in motion graphics, animation and time-based media. The course is for students enrolled in the Art BA, Art BFA, Art Education BS, Digital Arts and Media Design BDes or Photo BDes degree programs.",4,4,Prerequisites: DART 202
2714,DART 315,DART,315,,Game Studio,"DART 315 Game Studio (4 per semester/maximum of 8) A digital arts studio course concentrating on authoring interactive games as a creative vehicle for self-expression. This digital arts course provides an in-depth studio experience that will concentrate on authoring and critically evaluating interactive games as a creative vehicle for self-expression. This course will focus on creative work that is exploratory and experimental and engage students in research methods to advance their skills and critical competence in new media. Students will learn fundamentals of game design as it applies to board games and digital games. Through a series of small projects, students will design and develop both individually and in teams, analog, 2D and 3D game prototypes using a scripting language.",4,4,"Prerequisites: DART 202, DART 205"
2717,DART 404,DART,404,,Animation Studio,"DART 404 Animation Studio (4 per semester, maximum of 8) An in-depth digital arts production course focusing on exploring animation and time-based media through the development of self-initiated projects. This course will build upon previous digital arts studio courses and provide students with an in-depth studio experience to produce animated and time-based media works. In animation studio, students will explore animation and time-based media in relationship to their creative interests and studio practice while seeking to integrate course lectures, discussions and screenings into the realization of new work. This course is receptive to all forms of traditional and experimental animation techniques (analog, digital, hybrid) as well as creative and time-based media approaches.",4,4,Prerequisites: DART 303; DART 304; DART 314 Recommended Preparation: DART 204
2720,DART 410,DART,410,,Integrating Media: Convergence in Practice,"DART 410 Integrating Media: Convergence in Practice ( (4 per semester/maximum of 12) A studio course focusing on integrating new media concepts and related technologies into digital arts, media design and contemporary studio practice. This course is designed to provide an intensive studio experience for more focused creative research, media exploration and studio practice in new media. Students will seek to engage and synthesize a wide range of technologies, techniques and digital workflows in 2d, 3d, 4d or interactive media towards the development of a compelling and cohesive body of work.",4,4,Prerequisites: DART 302; DART 303; DART 304
2723,DART 495,DART,495,,Internship,"Supervised on or off-campus, nongroup instruction including field experiences, practica, or internships. Written and oral critique of activity required.",1,18,
2726,DIGIT 100,DIGIT,100,,Introduction to Digital Humanities,"The traditional theories and methods that underwrote the study of literature, history, and philosophy in the 20th century are now being supplemented with new techniques and tools. While this class will give a sense of the breadth of theoretical writings that have defined digital humanities (DH), we will imagine how current debates in DH share similarities to a longer history of philosophy, literature, and technology. Intended for students unfamiliar with digital humanities, this course surveys an array of tools, techniques, and cultures related to the field. We will be reading a survey of literature that emerged alongside computing and digital humanities properly. This course will challenge you to experiment with new techniques, and students who are resourceful, creative, and energetic will find this course an ideal forum to test their curiosity and inquisitiveness.",3,3,General Education: Humanities (GH)GenEd Learning Objective: Effective CommunicationGenEd Learning Objective: Integrative ThinkingGenEd Learning Objective: Key Literacies
2729,DIGIT 297,DIGIT,297,,Special Topics,"Formal courses given infrequently to explore, in dept, a comparatively narrow subject which may be topical or of special interest.",3,6,
2732,DIGIT 410,DIGIT,410,,Data Visualization,In-depth understanding of techniques and software for data visualization. Students will be introduced to complex data sets and learn how to present findings in interactive and innovative ways.,3,3,Prerequisite:  PSYCH200 or STAT 200
2735,DIGIT 494,DIGIT,494,,Senior Project,"DIGIT 494 is a senior capstone course that allows students to design, complete, and present an independent digitally based project.",3,3,"Prerequisite:  DIGIT100 , DIGIT110 , DIGIT400"
2738,DIGIT 497,DIGIT,497,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",3,9,
